Variant SKU	Handle	Color	Material	Finish	Width	Depth	Height
D1274DT	garwyn-dining-table	FAUX MARBLE/STAINLESS STEEL	Tempered Glass, MDF, Stainless Steel	n/a	71	35.5	31
D1058NDT (M)	gennadiya-dining-table	BLACK/SILVER	Tempered Glass, Powder Coating Metal Tube	n/a	63	36	30
D1182DT-BL	gerd-dining-table	BLACK HIGH GLOSS / MIRROR	TEMPERED GLASS / MDF / SS	n/a	71	35.5	30
D1182DT-WH	gerd-dining-table	WHITE HIGH GLOSS / MIRROR	TEMPERED GLASS / MDF / SS	n/a	71	35.5	30
D1530DT	gergely-dining-table	BLACK	MDF / GLASS / SS	n/a	63	35.5	30
D1628DT	gergo-dining-table	WHITE HG/GREY PAPER	Glass, MDF, Stainless Steel	n/a	63	36	30
D1713DT	gervais-dining-table	WHITE	TEMPERED GLASS / MDF / SS	n/a	79	37.5	30.25
D2056DT	gessica-dining-table	CLEAR/STAINLESS STEEL	GLASS/STAINLESS STEEL	n/a	79	40	30
D2160DT	giacinta-dining-table	CLEAR GLASS	Glass	n/a	55(79)	36	30
D219DT	giles-dining-table	GREY/SS	Glass, MDF, Stainless Steel	n/a	59	36	30
D2279DT 	giliam-dining-table	WHITE HG/SS	Brushed S/S, MDF, Polished S/S	n/a	63(87)	36	30
D2691DT	gilon-dining-table	Black	BLACK POWEDERED COATED IRON - TEMPERED GLASS	n/a	94.5	35.5	30
D30DT	gilroy-dining-table	BLACK GLASS	Tempered Glass, Chrome	n/a	46(58)	30	30
D3355DT-EXT	gittan-extendable-dining-table	SILVER	MDF WITH TEMPERED GLASS	n/a	74(92)	42	30.5
D368DT (M)	glenwood-dining-table	CLEAR/BLACK/CHROME	Tempered Glass, Stainless Steel	n/a	63	35	30
D3975DT	glenys-dining-table	METALLIC GREY	Tempered glass	n/a	71	39.5	31
D4126NDT	goddard-dining-table	OAK/WALNUT/SS	Glass, MDF, Brushed S/S	n/a	71	39	30
D4127DT	godric-dining-table	GREY/WHITE	MDF	n/a	71	39	30
D4801DT	golan-dining-table	WHITE	MDF HG / SS / GLASS	n/a	63(79)	35.5	30.25
D551DT	goode-dining-table	BLACK/SILVER	Tempered Glass, Stainless Steel	n/a	55	34	30
D716DT (M)	goodwin-dining-table	CLEAR/BLACK/CHROME	Tempered Glass, Stainless Steel	n/a	60	36	30
D858DT	gormlaith-dining-table	BLACK GLASS/SS	GLASS/STAINLESS STEEL	n/a	74	42	30
D894DT	gosta-dining-table	WHITE MARBLE	MDF	n/a	71	40	30
D9002DT (M)	gottlieb-dining-table	WHITE HG	Brushed S/S, MDF, Glass	n/a	71	40	30
D92011DT	graine-extendable-dining-table	BLACK/STAINLESS STEEL	Tempered Glass	n/a	63	36	30
D987DT 	granville-dining-table	MATTE BLACK & STAINLESS STEEL	STAINLESS STEEL	n/a	79	40	30
