Variant SKU	Handle	Color	Material	Finish	Width	Depth	Height
AURORA-W-EU	genaro-entertainment-unit	WENGE	MDF	n/a	47	19	27
AURORA-WH-EU	genaro-entertainment-unit	WHITE	MDF	n/a	47	19	27
D3355-BUFFET	geno-buffet-cabinet	SILVER	MDF	n/a	62	20	35.5
D4127N-BUFFET	giacomo-buffet-cabinet	n/a	MDF/Glass	n/a	71	17	36
D4126N - BUFFET	gio-buffet-cabinet	OAK/WALNUT	MDF/Glass	n/a	71	17	36
