Item/SKU	Handle	Color	Material	Finish	Width	Depth	Height
U3118C - SUBARU COFFEE - GR	garren-reclining-chair	SUBARU COFFEE	FABRIC / WOOD / METAL	n/a	36	39	40
U3118C - SUBARU COFFEE - CRLS	garren-reclining-loveseat-with-cupholder-console	SUBARU COFFEE	FABRIC / WOOD / METAL	n/a	71	39	40
U3118C - SUBARU COFFEE - RS W/ DDT	garren-reclining-sofa-with-dropdown-table	SUBARU COFFEE	FABRIC / WOOD / METAL	n/a	80	39	40
U559-LV-CH	genevieve-chair	BEIGE/ORANGE	Leather Match / Eucalyptus & Plywood 	n/a	48	37	36
U559-LV-L	genevieve-loveseat	BEIGE/ORANGE	Leather Match / Eucalyptus & Plywood 	n/a	66	37	36
U559-LV-S	genevieve-sofa	BEIGE/ORANGE	Leather Match / Eucalyptus & Plywood 	n/a	86	37	36
U9345-JS520-D07-CH 	georgette-chair	DARK GREY	GLASS PANELS / STAINLESS STEEL LEGS / MICROSEUDE  / 	n/a	38	36	25(36.5)
U9345-JS520-D07-LS	georgette-loveseat	DARK GREY	GLASS PANELS / STAINLESS STEEL LEGS / MICROSEUDE  / 	n/a	62	36	25(36.5)
U9345-JS520-D07-S 	georgette-sofa	DARK GREY	GLASS PANELS / STAINLESS STEEL LEGS / MICROSEUDE  / 	n/a	78	36	25(36.5)
U8078-SULTRY DRK BROWN/PECAN-PR	georgia-power-reclining-chair	DARK BROWN	n/a	n/a	43	32	41
U8078-SULTRY DRK BROWN/PECAN-PCRLS	georgia-power-reclining-loveseat-with-cupholder-console	DARK BROWN	n/a	n/a	78	32	41
U8078-SULTRY DRK BROWN/PECAN-PRS	georgia-power-reclining-sofa	DARK BROWN	n/a	n/a	88	32	41
UM08-SL70110-2 DRK GREY-GR	geraldine-reclining-chair	DARK GREY	FABRIC / WOOD / METAL 	n/a	39	33	41
UM08-SL70110-2 DRK GRY-CRLS	geraldine-reclining-loveseat-with-cupholder-console	DARK GREY	FABRIC / WOOD / METAL 	n/a	78	33	41
UM08-SL70110-2 DRK GRY-RS 	geraldine-reclining-sofa	DARK GREY	FABRIC / WOOD / METAL 	n/a	87	33	41
U1800-DTP932-7-PR	gertrude-power-reclining-chair	DARK GRAY W/CONTRAST DETAIL	WOOD / 	n/a	40	31	41
U1800-DTP932-7-PCRLS	gertrude-power-reclining-loveseat-with-cupholder-console	DARK GRAY W/CONTRAST DETAIL 	WOOD / 	n/a	75	31	41
U1800-DTP932-7-PRS	gertrude-power-reclining-sofa	DARK GRAY W/CONTRAST DETAIL	WOOD / 	n/a	85	31	41
U0040 - GR (M) 	gia-reclining-chair	GREY/BLACK	LEATHER AIR / WOOD / METAL	n/a	42	38	39
U0040-ESPRESSO-GR	gia-reclining-chair	ESPRESSO	LEATHER AIR / WOOD / METAL	n/a	42	38	39
U0040 - CRLS (M)	gia-reclining-loveseat-with-cupholder-console	GREY/BLACK	LEATHER AIR / WOOD / METAL	n/a	78	38	39
U0040-ESPRESSO-CRLS	gia-reclining-loveseat-with-cupholder-console	ESPRESSO	LEATHER AIR / WOOD / METAL	n/a	78	38	39
U0040 - RS (M)	gia-reclining-sofa	GREY/BLACK	LEATHER AIR / WOOD / METAL	n/a	87	38	39
U0040-ESPRESSO-RS	gia-reclining-sofa	ESPRESSO	LEATHER AIR / WOOD / METAL	n/a	87	38	39
U7303C-CRLS W/DRAWER (SP) 	giada-loveseat-with-cupholder-console	GIN RUMMY CHARCOAL	PRINTED MICROFIBER / WOOD / METAL	n/a	73	39	41
U7303C-GIN RUMMY CHARCOAL-GRC (SP)	giada-reclining-chair	GIN RUMMY CHARCOAL	PRINTED MICROFIBER / WOOD / METAL	n/a	37	39	41
U7303C-RS W/DDT (SP)	giada-reclining-sofa	GIN RUMMY CHARCOAL	PRINTED MICROFIBER / WOOD / METAL	n/a	82	39	41
UFM365-BLACK VELVET F180-50-CH	gigi-chair	BLACK VELVET	VELVET FABRIC -	n/a	45	37	32(39)
UFM365-BLACK VELVET F180-50-LS	gigi-loveseat	BLACK VELVET	VELVET FABRIC -	n/a	67	37	32(39)
UFM365-BLACK VELVET F180-50-S	gigi-sofa	BLACK VELVET	VELVET FABRIC -	n/a	86	37	32(39)
U1876-BLANCHE LIVIDITY-PR	gillian-power-reclining-chair	DARK GRAY W/CONTRAST DETAIL	n/a	n/a	36	32	42
U1876-BLANCHE LIVIDITY-PCRLS	gillian-power-reclining-loveseat	DARK GRAY W/CONTRAST DETAIL	n/a	n/a	71	32	42
U1876-BLANCHE LIVIDITY-PRS	gillian-power-reclining-sofa	DARK GRAY W/CONTRAST DETAIL	n/a	n/a	83	32	42
U8900-BLK VELVET CC29-PR	ginny-power-reclining-chair	Black	VELVET  	n/a	39	34	39
U8900-BLK VELVET CC29-PCRLS 	ginny-power-reclining-loveseat-with-cupholder-console	Black	VELVET  	n/a	74.5	34	39
U8900-BLK VELVET CC29-PRS	ginny-power-reclining-sofa-with-cupholder-console	Black	VELVET  	n/a	77	34	39
U8141-LT GREY-CH	giselle-chair	NATALIE LT GREY	Bonded Leather / Eucalyptus & Plywood 	n/a	47	41	30/37
U8141-LT GREY-L	giselle-loveseat	NATALIE LT GREY	Bonded Leather / Eucalyptus & Plywood 	n/a	70	41	30/37
U8141-LT GREY-S	giselle-sofa	NATALIE LT GREY	Bonded Leather / Eucalyptus & Plywood 	n/a	86	41	30/37
U1706-AGNES ESPRESSO-PR W/ PHR	giuliana-power-reclining-chair-with-power-adjusting-headrest	Agness Espresso	FABRIC / WOOD / METAL	n/a	41	38	40
U1706-AGNES ESPRESSO-PCRLS W/ PHR	giuliana-power-reclining-loveseat-with-power-adjusting-headrest	Agness Espresso	FABRIC / WOOD / METAL	n/a	76	39	40
