Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
9097-S-FB	gila-bed	SILVER	MDF, PARTICLE BOARD	n/a	82.5	74.75	61
9097-S-KB	gila-bed	SILVER	MDF, PARTICLE BOARD	n/a	81	97	61
9097-S-QB	gila-bed	SILVER	MDF, PARTICLE BOARD	n/a	87	81	61
9098-GR-FB	gilana-bed	GREY	MDF, PARTICLE BOARD	n/a	84	120	64
9098-GR-KB	gilana-bed	GREY	MDF, PARTICLE BOARD	n/a	86	141	64
9098-GR-QB	gilana-bed	GREY	MDF, PARTICLE BOARD	n/a	86	125	64
9652-BL PU/GR-KB W/STEREO & LIGHT	gilat-bed	BLACK PU W/GREY FABRIC 	PU,FABRIC,USB,LIGHTS,SPEAKERS	n/a	92	82	62
9652-BL PU/GR-QB W/STEREO & LIGHT 	gilat-bed	BLACK PU W/GREY FABRIC 	PU,FABRIC,USB,LIGHTS,SPEAKERS	n/a	92	65.5	62
9652-WH PU/GR-KB W/STEREO & LIGHT	gilat-bed	WHITE PU W/GREY FABRIC 	PU,FABRIC,USB,LIGHTS,SPEAKERS	n/a	92	82	62
9652-WH PU/GR-QB W/STEREO & LIGHT	gilat-bed	WHITE PU W/GREY FABRIC 	PU,FABRIC,USB,LIGHTS,SPEAKERS	n/a	92	65.5	62
ATHENA-BEIGE-KB	gilbert-bed	ASH BEIGE	Poplar solid+ OAK venner	n/a	91	81	64
ATHENA-BEIGE-QB	gilbert-bed	ASH BEIGE	Poplar solid+ OAK venner	n/a	91	65	64
ATHENA-ASH BEIGE-CH	gilbert-chest	WOOD GRAIN DETAIL WITH METALLIC GOLD FINISH WITH MARBLE TOP ACCENT	Poplar solid+ OAK venner	n/a	39	19	58
ATHENA-ASH BEIGE-DR	gilbert-dresser	WOOD GRAIN DETAIL WITH METALLIC GOLD FINISH WITH MARBLE TOP ACCENT	Poplar solid+ OAK venner	n/a	66.5	18	37
ATHENA-ASH BEIGE-MR 	gilbert-mirror	WOOD GRAIN DETAIL WITH METALLIC GOLD FINISH	Poplar solid+ OAK venner	n/a	51	1	41
ATHENA-ASH BEIGE-NS	gilbert-nightstand	WOOD GRAIN DETAIL WITH METALLIC GOLD FINISH WITH MARBLE TOP ACCENT	Poplar solid+ OAK venner	n/a	28.5	18	26
AURORA-W-FB (M)	gilberta-bed	WENGE	MDF	n/a	59	81	43
