Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
MARSEILLE-GREY NS W/USB	graham-nightstand	n/a	n/a	n/a	30	18	30.5
SANTORINI-WH-FB	granger-bed	METALLIC WHITE/FAUX MARBLE	Solid wood w/finger joint/no veneer w/white marble paper	n/a	80	56.5	60
SANTORINI-WH-KB	granger-bed	METALLIC WHITE/FAUX MARBLE	Solid wood w/finger joint/no veneer w/white marble paper	n/a	85	79	60
SANTORINI-WH-QB	granger-bed	METALLIC WHITE/FAUX MARBLE	Solid wood w/finger joint/no veneer w/white marble paper	n/a	85	63	60
SANTORINI-METALLIC WHITE-CH	granger-chest	n/a	Solid wood w/finger joint/no veneer w/white marble paper 	n/a	33.5	16.5	47.75
SANTORINI-METALLIC WHITE-DR	granger-dresser	n/a	Solid wood w/finger joint/no veneer w/white marble paper 	n/a	62	16.5	38.5
SANTORINI-METALLIC WHITE-MR	granger-mirror	n/a	Solid wood w/finger joint/no veneer w/white marble paper 	n/a	43	1	41
SANTORINI-METALLIC WHITE-NS	granger-nightstand	n/a	Solid wood w/finger joint/no veneer w/white marble paper 	n/a	26.5	16.5	29.25
MARLEY-M-KB	grant-bed	MERLOT	Tropical wood ; MDF 	n/a	89	79	47
MARLEY-M-QB	grant-bed	MERLOT	Tropical wood ; MDF 	n/a	89	63	47
MARLEY-S-FB	grant-bed	SILVER	Tropical wood ; MDF 	n/a	84	57	47
MARLEY-S-KB	grant-bed	SILVER	Tropical wood ; MDF 	n/a	89	79	47
MARLEY-S-QB	grant-bed	SILVER	Tropical wood ; MDF 	n/a	89	63	47
MARLEY - MERLOT - CH	grant-chest	MERLOT	Tropical wood ; MDF 	n/a	32	16	48
MARLEY - SILVER - CH	grant-chest	SILVER	Tropical wood ; MDF 	n/a	32	16	48
MARLEY - MERLOT - DR	grant-dresser	MERLOT	Tropical wood ; MDF 	n/a	58	16	33
MARLEY - SILVER - DR	grant-dresser	SILVER	Tropical wood ; MDF 	n/a	58	16	33
MARLEY - MERLOT - MR	grant-mirror	MERLOT	Tropical wood ; MDF 	n/a	38	1	38
MARLEY - SILVER - MR	grant-mirror	SILVER	Tropical wood ; MDF 	n/a	38	1	38
MARLEY - MERLOT - NS	grant-nightstand	MERLOT	Tropical wood ; MDF 	n/a	22	16	24
MARLEY - SILVER - NS	grant-nightstand	SILVER	Tropical wood ; MDF 	n/a	22	16	24
MACKENZIE-FB	grayson-bed	WHITE/SILVER PU	 Solid wood with finger joint / No veneer	n/a	81	57	62
MACKENZIE-KB	grayson-bed	WHITE/SILVER PU	 Solid wood with finger joint / No veneer	n/a	87	79	56
MACKENZIE-QB 	grayson-bed	WHITE/SILVER PU	 Solid wood with finger joint / No veneer	n/a	87	63	56
MACKENZIE - CH 	grayson-chest	WHITE	 Solid wood with finger joint / No veneer	n/a	33	16	49
MACKENZIE - D 	grayson-dresser	WHITE	 Solid wood with finger joint / No veneer	n/a	62	16	39
MACKENZIE - M	grayson-mirror	WHITE	 Solid wood with finger joint / No veneer	n/a	42	1	36
MACKENZIE - PEARLIZED WHITE - NS	grayson-nightstand	WHITE	 Solid wood with finger joint / No veneer	n/a	25	16	28
HALEY-BROWN-FB	greenleigh-bed	BROWN	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-KB	greenleigh-bed	BROWN	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-QB	greenleigh-bed	BROWN	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-CH	greenleigh-chest	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-DR	greenleigh-dresser	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-MR	greenleigh-mirror	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
HALEY-BROWN-NS	greenleigh-nightstand	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	n/a	n/a	n/a
MONTEREY-KB	gregory-bed	n/a	n/a	n/a	n/a	n/a	n/a
MONTEREY-QB	gregory-bed	n/a	n/a	n/a	83	68	62
MONTEREY-CH	gregory-chest	n/a	n/a	n/a	36.5	17	48.5
MONTEREY-DR 	gregory-dresser	n/a	n/a	n/a	62	17	40
MONTEREY-MR	gregory-mirror	n/a	n/a	n/a	46	1	38
MONTEREY-NS	gregory-nightstand	n/a	n/a	n/a	27	17	23.5
MIA-BL-FB	griffin-bed	METALLIC BLACK WITH METALLIC SILVER UPHOLSTERY	Solid wood with finger joint / no veneer	n/a	79	56.5	56
MIA-BL-KB	griffin-bed	METALLIC BLACK WITH METALLIC SILVER UPHOLSTERY	Solid wood with finger joint / no veneer	n/a	85	81	56
MIA-BL-QB	griffin-bed	METALLIC BLACK WITH METALLIC SILVER UPHOLSTERY	Solid wood with finger joint / no veneer	n/a	85	65	56
MIA-METALLIC BLACK-CH	griffin-chest	METALLIC BLACK   	n/a	n/a	31	16	48.5
MIA-METALLIC BLACK-DR	griffin-dresser	METALLIC BLACK   	n/a	n/a	59	16	34
MIA-METALLIC BLACK-MR	griffin-mirror	METALLIC BLACK   	n/a	n/a	38	38	
MIA-METALLIC BLACK-NS	griffin-nightstand	METALLIC BLACK   	n/a	n/a	21.5	16	24
HUDSON(988)-EKB	griselle-bed	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	76	80	45
HUDSON(988)-QB 	griselle-bed	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	80	60	45
HUDSON(988)-CH	griselle-chest	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	35	19	45
HUDSON(988)-D	griselle-dresser	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	54	18	32
HUDSON(988)-M	griselle-mirror	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	34	1	44
HUDSON(988)-NS	griselle-nightstand	ZEBRA GREY & WHITE HG	MDF & Particle Board	n/a	24	17	21
PENELOPE-KB	guillermo-bed	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	88	80	64
PENELOPE-QB	guillermo-bed	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	88	64	64
PENELOPE-CH	guillermo-chest	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	36	18	54
PENELOPE-D	guillermo-dresser	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	64	19	38
PENELOPE-M	guillermo-mirror	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	48	2	40
PENELOPE-NS	guillermo-nightstand	METALLIC GREY	MDF WITH CROCODILE EMBOSSED	n/a	29	18	28
JADE-FB	gunhilda-bed	SILVER CHAMPAGNE	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	78	57	58.5
JADE-KB	gunhilda-bed	SILVER CHAMPAGNE	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	83	79	58.5
JADE-QB	gunhilda-bed	SILVER CHAMPAGNE	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	83	63.5	58.5
JADE-CHAMPAGNE-CH	gunhilda-chest	METALLIC FINISH WITH MIRROR ACCENTS	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	36	17	51
JADE-CHAMPAGNE-DR	gunhilda-dresser	METALLIC FINISH WITH MIRROR ACCENTS	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	59	17	43
JADE-CHAMPAGNE-MR	gunhilda-mirror	METALLIC FINISH	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	36	1	31.5
JADE-CHAMPAGNE-NS	gunhilda-nightstand	METALLIC FINISH WITH MIRROR ACCENTS	MDF, CHIPBOARD, VENEER, RUBBERWOOD	n/a	26	17	28
JEWEL-GREY-LC	gustaaf-chest	PEWTER GREY W/SILVER GLITTER ACCENT	RUBBERWOOD, MDF	n/a	21	17	64
JEWEL-GREY-M	gustaaf-mirror	PEWTER GREY W/SILVER GLITTER ACCENT	RUBBERWOOD, MDF	n/a	48	2	41
JEWEL-GREY-NS	gustaaf-nightstand	PEWTER GREY W/SILVER GLITTER ACCENT	RUBBERWOOD, MDF	n/a	29.5	17	28
JEWEL-GREY-D	gustaff-dresser	PEWTER GREY W/SILVER GLITTER ACCENT	RUBBERWOOD, MDF	n/a	64	17	38
JORDYN-GREY-FB	gustav-bed	GREY	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	87	56	56
JORDYN-GREY-KB	gustav-bed	GREY	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	92	78	56
JORDYN-GREY-QB	gustav-bed	GREY	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	92	62.5	56
JORDYN-WHITE-FB	gustav-bed	WHITE	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	87	56	56
JORDYN-WHITE-KB	gustav-bed	WHITE	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	92	78	56
JORDYN-WHITE-QB	gustav-bed	WHITE	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	92	62.5	56
JORDYN-GREY-CH	gustav-chest	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	35	17	53
JORDYN-WHITE-CH	gustav-chest	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	35	17	53
JORDYN-GREY-DR	gustav-dresser	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	59	17	39
JORDYN-WHITE-DR	gustav-dresser	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	59	17	39
JORDYN-GREY-MR	gustav-mirror	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	46	1	34.5
JORDYN-WHITE-MR	gustav-mirror	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	46	1	34.5
JORDYN-GREY-NS	gustav-nightstand	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	24	17	27
JORDYN-WHITE-NS	gustav-nightstand	n/a	R/Wood, T/Wood, MDF Board, Chipboard, Plywood	n/a	24	17	27
KATE-GR-FB 	gwenda-bed	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	78	57	56
KATE-GR-KB	gwenda-bed	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	86	79	56
KATE-GR-QB	gwenda-bed	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	86	63	56
KATE-WH-FB 	gwenda-bed	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	78	57	56
KATE-WH-KB 	gwenda-bed	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	86	79	56
KATE-WH-QB 	gwenda-bed	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	86	63	56
KATE-FOIL GREY-CH	gwenda-chest	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	31	16	46
KATE-WHITE-CH	gwenda-chest	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	31	16	46
KATE-FOIL GREY-D	gwenda-dresser	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	58	16	37
KATE-WHITE-D	gwenda-dresser	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	58	16	37
KATE-FOIL GREY-M	gwenda-mirror	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	39	1	35
KATE-WHITE-M	gwenda-mirror	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	39	1	35
KATE-FOIL GREY-NS	gwenda-nightstand	FOIL GREY	Chip Board, MDF, Plywood , PU Paper	n/a	24	16	25
KATE-WHITE-NS	gwenda-nightstand	WHITE	Chip Board, MDF, Plywood , PU Paper	n/a	24	16	25
KYLIE-WHITE/SILVER-KB	gyldan-bed	WHITE/SILVER	SOLID WOOD WITH FINGER JOINT	n/a	85	79	67.5
KYLIE-WHITE/SILVER-QB	gyldan-bed	WHITE/SILVER	SOLID WOOD WITH FINGER JOINT	n/a	85	63	67.5
KYLIE-WHITE/SILVER-LC	gyldan-chest	GLASS ACCENTS / UPH FRONT DRAWERS	SOLID WOOD WITH FINGER JOINT	n/a	21	16.5	65
KYLIE-WHITE/SILVER-DR	gyldan-dresser	GLASS ACCENTS / UPH FRONT DRAWERS 	SOLID WOOD WITH FINGER JOINT	n/a	63.75	16.5	38.25
KYLIE-WHITE/SILVER-MR	gyldan-mirror	n/a	SOLID WOOD WITH FINGER JOINT	n/a	43	1	43
KYLIE-WHITE/SILVER-NS	gyldan-nightstand	GLASS ACCENTS / UPH FRONT DRAWERS	SOLID WOOD WITH FINGER JOINT	n/a	26	16.5	28.75
