Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
D1021DC-BLK/GRY 	gaetano-dining-chair	BLACK/GREY	FABRIC / METAL / FOAM	n/a	21	17	38
D1021DC-BLK/RED	gaetano-dining-chair	BLACK/RED	FABRIC / METAL / FOAM	n/a	21	17	38
D1021DC-BLK/ROYAL BLUE	gaetano-dining-chair	BLACK/ROYAL BLUE	FABRIC / METAL / FOAM	n/a	21	17	38
D1609DC-BLACK	gaines-dining-chair	BLACK	PU, foam, Chrome	n/a	18	18.5	36
D1609DC-BLACK VELVET	gaines-dining-chair	BLACK VELVET	PU, foam, Chrome	n/a	18	18.5	36
D1609DC-BLUE VELVET	gaines-dining-chair	BLUE VELVET	PU, foam, Chrome	n/a	18	18.5	36
D1609DC-WHITE	gaines-dining-chair	WHTIE	PU, foam, Chrome	n/a	18	18.5	36
D3355DC	galel-dining-chair	SILVER	METALLIC SILVER	n/a	19	22	40
D4126NDC	galileo-dining-chair	BROWN	PU, Sponge, Iron	n/a	17	26	41
D4127NDC	galileo-dining-chair	n/a	n/a	n/a	26	18	40
D41DC-BLACK	galip-dining-chair	BLACK	PU FABRIC / CHROME LEGS	n/a	21	18	38
D41DC-WHITE	galip-dining-chair	WHITE	PU FABRIC / CHROME LEGS	n/a	21	18	38
D4511DC (M)	gallagher-dining-chair	BLACK/RED	PU, Sponge, Plywood	n/a	17	17	41
D4878DC-BL	galloway-dining-chair	BLACK	PU / Plywood / Sponge Brushed Stainless Steel Legs	n/a	22	20	37
D4878DC-TURQ	ganix-dining-chair	TURQUOISE	PU / Plywood / Sponge Brushed Stainless Steel Legs	n/a	22	20	37
D4878DC-WH	ganix-dining-chair	WHITE	PU / Plywood / Sponge Brushed Stainless Steel Legs	n/a	22	20	37
D1067DC - WH	garda-dining-chair	WHITE	PU, Foam, Plywood, Polished Chrome Legs and Base	n/a	19	24	38
D1067DC- BL 	garda-dining-chair	BLACK	PU, Foam, Plywood, Polished Chrome Legs and Base	n/a	19	24	38
D4957DC	gardner-dining-chair	GREY	n/a	n/a	18.5	17	39
D7012DC	garth-dining-chair	BLACK	n/a	n/a	20.5	20.5	35.5
D716DC (M) 	garvey-dining-chair	BLACK	PU, Sponge, Plywood	n/a	16	17	39
D8110DC-BLUE	gautama-dining-chair	BLUE (HY-JND99-13)	Upholstered Fabric,foam,plywood,metal,stainless steel 	n/a	24	24	34
D8110DC-LT GRY	gautama-dining-chair	LIGHT GREY (HY-JND99-14)	Upholstered Fabric,foam,plywood,metal,stainless steel 	n/a	24	24	34
D8110DC-MAUVE	gautama-dining-chair	MAUVE ( LM073-47)	Upholstered Fabric,foam,plywood,metal,stainless steel 	n/a	24	24	34
D858DC	gefen-dining-chair	STAINLESS STEEL/BLACK	Stainless Steel, Velvet, MDF	n/a	19	24	41
D9002DC-BL (M)	gellert-dining-chair	BLACK	PU, Sponge, Iron	n/a	18	18	39
D9002DC-WH (M)	gellert-dining-chair	WHITE	PU, Sponge, Iron	n/a	18	18	39
D915DC-BLK	gemini-dining-chair	BLACK	PU Fabric & chgrome legs	n/a	17	17	39
D915DC-GR	gemini-dining-chair	GREY	PU Fabric & chgrome legs	n/a	17	17	39
D915DC-WHT	gemini-dining-chair	WHITE	PU Fabric & chgrome legs	n/a	17	17	39
DC27DC	genie-dining-chair	METALLIC GREY	n/a	n/a	19	17	40.5
D140DC (M)	glynice-dining-chair	BLACK	PU, Sponge, Plywood	n/a	16	16	37
D1058DC (M)	greeta-dining-chair	BLACK	PVC, Sponge, Plywood	n/a	22	17	43
