Handle,Width,Depth,Height
aida-wardrobe,70,21,86
aida-wardrobe,36,17,67
luna-wardrobe,,,
luna-wardrobe,,,
luna-wardrobe,,,
luna-wardrobe,,,
luna-wardrobe,,,
luna-nightstand,,,
luna-dresser,,,
melodia-mirror,44.88,1.57,34.25
melodia-dresser,57.48,26.38,35.43
melodia-vanity-mirror,57.48,1.57,36.61
melodia-wardrobe,108.27,27.95,99.21
melodia-wardrobe,84.65,27.95,88.98
melodia-nightstand,27.95,19.69,25.59
melodia-vanity-dresser,84.64,19.69,33.46
melodia-chest,28.74,20.47,53.54
dama-bianca-glass-wardrobe,73,24,90
momo-wardrobe,34,21.5,83
elite-dresser,67,19,33
elite-mirror,42,1,40
elite-nightstand,23,17,24
elite-ottoman,16,16,16
elite-vanity-dresser,67,19,33
leonardo-dresser,67,18,30
leonardo-mirror,58,3,42
leonardo-nightstand,25,16,21
leonardo-wardrobe,69.3,20.9,88.6
enzo-display-module,40.35,15.75,58.66
enzo-chest,30.5,18,55.5
enzo-mirror,6.5,62.5,41.5
enzo-mirror,40.5,3,41.5
enzo-dresser,16.5,64.2,38
enzo-dresser,18,50,48
enzo-nightstand,25,21,15
prestige-classic-nightstand,27,16,22
prestige-classic-dresser,68,19,33
prestige-classic-mirror,45.6,2,40.15
prestige-classic-chest,36,16,52
prestige-classic-wardrobe,127.2,23.6,90.6
prestige-classic-wardrobe,106.3,23.6,90.6
prestige-classic-wardrobe,85,23.6,90.6
prestige-classic-wardrobe,64.2,23.6,90.6
prestige-classic-wardrobe,42.9,23.6,90.6
prestige-classic-vanity-dresser,48,21,27
prestige-classic-vanity-chair,24,4.5,22
onda-drop-chest,30,17,46
onda-drop-nightstand,30,17,21
onda-drop-dresser,68,19,31
onda-drop-dresser,53,19,31
onda-drop-mirror,47,2,36
onda-drop-wardrobe,73,24,90
donatello-mirror,38,2,45
donatello-nightstand,25,19,28
donatello-vanity-mirror,65,2,45
donatello-vanity-dresser,73,19,28
donatello-wardrobe,86,29,90.5
donatello-wardrobe,55,19,88
donatello-dresser,52,22,40
altea-nightstand,28,18,17
altea-dresser,71,17,30
altea-mirror,44,1,29
altea chest,28,18,47
dover-wardrobe,,,
dover-wardrobe,71,22,83
dover-nightstand,20,14.5,18
dover-dresser,,,
dover-dresser,40,18,30
dover-mirror,43,1,27.5
martina-nightstand,24,16,23
martina-dresser,44,18,35
carmen-white-nightstand,26,18,19
carmen-white-dresser,63,16,36
carmen-white-dresser,47,16,40
carmen-white-chest,30,52,18
carmen-white-wardrobe,39,24,67
carmen-white-mirror,63,4,40
carmen-white-mirror,40,4,40
veronica-chest,23.62,18.5,45.27
veronica-dresser,45,19,31
veronica-nightstand,24,17,21
aida-wardrobe,36,17,67
tekno-nightstand,23,17,18
tekno-dresser,65.5,19,31
tekno-mirror,48,1,36
new-star-nightstand,26,17,21
new-star-dresser,67,19,31
new-star-chest,26,17,50
new-star-mirror,47,7,39
onda-nightstand,30,17,21
medea-nightstand,25,17,23
medea-dresser,67,20,32
medea-mirror,39,0.8,38.5
medea-chest,25,17,49
picasso-nightstand,26,18,24
picasso-dresser,60,18,34
picasso-mirror,37,1,41
picasso-chest,36,18,54
elena-nightstand,25,17,14
elena-nightstand,25,17,14
elena-dresser,62,17,32
elena-dresser,47,17,32
elena-mirror,47,2,24
elena-chest,25,17,42
elena-wardrobe,39,24,67
dover-wardrobe,,,
dover-wardrobe,71,22,83
dover-nightstand,20,14.5,18
dover-dresser,,,
dover-dresser,40,18,30
dover-mirror,20,14.5,18
regina-dresser,59,19,30
regina-dresser,44,20,31
regina-mirror,39,1,32
regina-mirror,39,39,2
regina-nightstand,23.5,16,20
palma-nightstand,23,17,17.5
nostalgia-dresser,51,22,36
lux-mattress,39,75,11
lux-mattress,60,79,11
lux-mattress,76,79,11
ambra-rombi-nightstand,24,17,23
ambra-rombi-dresser,68,19,32
ambra-rombi-mirror,47,133,35
malaga-wardrobe,50,20,70
maia-nightstand,25.5,18,18
maia-dresser,71,20,32
maia-chest,28,18,49
marte-mattress,76,80,9
marte-mattress,59,80,9
marte-mattress,54,80,9
marte-mattress,39,80,9
malaga-chest,26,18,50
malaga-dresser,60,17,37
malaga-dresser,48,17,37
