Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	444	04077A	SIDE CHAIR (SET-2)	 $ 315.70 		2	49	8.57	Chateau De Ville
2022	444	04078	ARM CHAIR (SET-2)	 $ 332.20 		2	60	8.57	Chateau De Ville
2022	444	04078A	ARM CHAIR (SET-2)	 $ 332.20 		2	60	8.57	Chateau De Ville
2022	444	04079	CHERRY HUTCH & BUFFET	 $ 1,713.80 	2		417	80.45	Chateau De Ville
2022	440	04079A	CHERRY HUTCH & BUFFET	 $ 1,713.80 	2		417	80.45	Chateau De Ville
2022	581	04082	COUNTER HEIGHT TABLE	 $ 400.40 	2		138	11.18	Chateau De Ville
2022	581	04084	COUNTER HEIGHT CHAIR (SET-2)	 $ 400.40 		2	49	9.13	Chateau De Ville
2022	581	04084A	COUNTER HEIGHT CHAIR (SET-2)	 $ 400.40 		2	49	9.13	Chateau De Ville
2022	162	04163	NIGHTSTAND	 $ 229.90 		1	56	10.94	Ireland - I/Storage
2022	162	04164	MIRROR	 $ 108.90 		1	32	3.98	Ireland - I/Storage
2022	162	04165	DRESSER	 $ 682.00 		1	161	30.18	Ireland - I/Storage
2022	162	04166	CHEST	 $ 485.10 		1	110	19.81	Ireland - I/Storage
2022	500	04620	DINING TABLE	 $ 323.40 		1	123	9	Urbana
2022	500	04624	SIDE CHAIR (SET-2)	 $ 166.10 		2	39	6.64	Urbana
2022	500	04625	BENCH	 $ 134.20 		1	35	3.31	Urbana
2022	287	04980T	D. WALNUT TWIN BED	 $ 213.40 	4		83	6.2	San Marino
2022	671	05495	SOFA (W/5 PILLOWS)	 $ 1,557.60 		1	150	73.23	Dreena
2022	671	05496	LOVESEAT (W/3 PILLOWS)	 $ 1,300.20 		1	121	54.73	Dreena
2022	671	05497	CHAIR (W/1 PILLOW)	 $ 710.60 		1	68	23.61	Dreena
2020	1100	05522	2PC PK CHAIR & OTTOMAN	 $ 284.90 		1	62	15	All Star
2020	1101	05527	2PC PK CHAIR & OTTOMAN	 $ 198.00 		1	44	12.65	All Star
2020	1101	05528	2PC PK CHAIR & OTTOMAN	 $ 200.20 		1	44	12.65	All Star
2022	514	06850	DINING TABLE	 $ 112.20 		1	51	3.74	Cardiff
2022	514	06851	SIDE CHAIR (SET-2)	 $ 115.50 		2	24	2.62	Cardiff
2022	499	07054	SIDE CHAIR (SET-2)	 $ 166.10 		2	43	6.48	Britney/Danville/Granada/Earline/Doretta/Camelot/Justin/Issac/Baldwin/Faymoor
2022	616	07055	COUNTER HEIGHT CHAIR (SET-2)	 $ 181.50 		2	39	7.32	Britney/Danville/Granada/Earline/Doretta/Camelot/Justin/Issac/Baldwin/Faymoor
2022	597	07285	5PC PK COUNTER HEIGHT SET	 $ 247.50 		1	88	7.76	Gaucho
2022	597	07288	5PC PK COUNTER HEIGHT SET	 $ 247.50 		1	88	7.76	Gaucho
2022	597	07289	5PC PK COUNTER HEIGHT SET	 $ 247.50 		1	88	7.76	Gaucho
2022	623	07302	COUNTER HEIGHT STOOL (SET-2)	 $ 82.50 		2	24	1.82	Gaucho
2022	623	07303	STOOL (SET-2)	 $ 75.90 		2	20	2.43	Gaucho
2022	623	07305	COUNTER HEIGHT STOOL (SET-2)	 $ 84.70 		2	24	2.83	Gaucho
2022	623	07306	BAR STOOL (SET-2)	 $ 89.10 		2	27	3	Gaucho
2020		08327	TOP SHELF	 $ 37.40 		1	29	2.07	Malloy
2022	287	08940T	MAPLE TWIN BED &SLAT	 $ 213.40 	4		83	6.2	San Marino
2022	287	08948	NIGHTSTAND	 $ 205.70 		1	49	7.9	San Marino
2022	287	09150T	WH TWIN YOUTH BED &SLATS	 $ 213.40 	4		83	6.2	San Marino
2022	287	09158	NIGHTSTAND	 $ 205.70 		1	49	7.9	San Marino
2022	1388	09205	BOMBAY CHEST	 $ 473.00 		1	88	17.56	Roma
2022	440	10038	SIDE CHAIR (SET-2)	 $ 347.60 		2	49	8.3	Chateau De Ville
2022	440	10039	ARM CHAIR (SET-2)	 $ 380.60 		2	60	8.39	Chateau De Ville
2022	325	10160	OAK TREE HOUSE LOFTBED	 $ 842.60 	2		208	26.81	Tree House
2022	325	10163	BOOKCASE CABINET	 $ 455.40 		1	97	23.91	Tree House
2022	336	10170W	LADDER ESPRESSO T&T BUNK BED & TRUNDLE (4CTN)  (3A PKING)	 $ 962.50 	4		308	32.64	Allentown
2022	1001	10290	COFFEE TABLE	 $ 337.70 		1	76	9.45	Dreena
2022	1001	10291	END TABLE	 $ 253.00 		1	56	4.15	Dreena
2022	1001	10292	SOFA TABLE	 $ 292.60 		1	68	6.42	Dreena
2022	1117	10321	TV STAND	 $ 853.60 		1	190	31.23	Anondale
2022	1002	10322	COFFEE TABLE	 $ 528.00 		1	112	17.42	Anondale
2022	1002	10323	END TABLE	 $ 304.70 		1	55	7.75	Anondale
2022	1002	10324	SOFA TABLE	 $ 414.70 		1	86	10.39	Anondale
2022	331	10970W	WHITE LOFT BED -ISTA 3A	 $ 632.50 	4		307	21.88	Willoughby
2022	331	10978W	WHITE TWIN BED -ISTA 3A	 $ 162.80 	2		74	7.2	Willoughby
2022	330	10980W	BLACK LOFT BED	 $ 632.50 	4		307	21.88	Willoughby
2022	330	10988W	BLACK TWIN BED	 $ 162.80 	2		74	7.2	Willoughby
2022	1270	12106	FILE CABINET W/3 DRW	 $ 97.90 		1	55	1.94	Marlow
2022	1259	12110	WRITING DESK	 $ 93.50 		1	81	3.01	Hamm
2022	98	12134CK	CAL.KING BED	 $ 1,556.50 	3		341	37.57	Dresden
2022	98	12137EK	EASTERN KING BED	 $ 1,556.50 	3		302	43.18	Dresden
2022	98	12140Q	QUEEN BED	 $ 1,441.00 	3		259	33.45	Dresden
2022	94	12143	NIGHTSTAND	 $ 409.20 		1	93	12.55	Dresden
2022	94	12144	MIRROR	 $ 327.80 		1	60	5.33	Dresden
2022	94	12145	DRESSER/SERVER	 $ 1,063.70 		1	205	32.03	Dresden
2022	94	12146	CHEST	 $ 905.30 		1	190	30.94	Dresden
2022	98	12147	TV ARMOIRE (T&BS)	 $ 1,618.10 	2		371	63.25	Dresden
2022	421	12150	PED DIN. TABLE WITH 12151ST	 $ 1,133.00 	2		275	28.66	Dresden
2022	421	12153	SIDE CHAIR (SET-2)	 $ 464.20 		2	62	8.56	Dresden
2022	421	12154	ARM CHAIR (SET-2)	 $ 536.80 		2	77	8.56	Dresden
2022	421	12155	HUTCH & BUFFET	 $ 2,090.00 	2		441	76.66	Dresden
2022	421	12158	CURIO (T&12159BS)	 $ 1,447.60 	2		321	50.3	Dresden
2022	579	12160	COUNTER H. TABLE WITH 12161ST	 $ 603.90 	2		126	14.28	Dresden
2022	579	12162	COUNTER HEIGHT CHAIR (SET-2)	 $ 509.30 		2	66	9.32	Dresden
2022	1116	12163	ENTERTAINMENT CENTER (2 CTN)	 $ 1,698.40 	2		364	55.8	Dresden
2022	984	12165	COFFEE TABLE (RECTANGULAR)	 $ 355.30 		1	79	10.56	Dresden
2022	984	12166	END TABLE	 $ 247.50 		1	44	4.17	Dresden
2022	1176	12169	EXECUTUVE WRITING DESK	 $ 1,129.70 		1	271	42.31	Dresden
2022	1176	12170	EXECUTUVE OFFICE CHAIR (ARM)	 $ 364.10 		1	31	6.39	Dresden
2022	1176	12172	COMPUTER DESK W HUTCH	 $ 1,785.30 	2		373	67.63	Dresden
2022	1469	12244	WINE CABINET	 $ 235.40 		1	80	6.33	Casey
2022	1480	12248KIT	ESPRESSO FINISH WARDROBE WITH 12249	 $ 259.60 	2		257	5.89	Olean
2022	1513	12258KIT	ESPRESSO KITCHEN CABINET	 $ 171.60 	2		170	3.73	Quintus
2022	227	14337EK	EASTERN KING BED	 $ 330.00 	2		105	12.33	Ireland III
