SKU	Handle	Title	Intro	Colors	Material	Finish	W	D	H	Weight	Features	Base Price	Image Link	Barcode
AD-620 1014	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	9'6"	13'	0.25	40	Double-Sided, Soft Cotton Chenile Yarn	340	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 23	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	2'	3'	0.25	3	Double-Sided, Soft Cotton Chenile Yarn	15	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 2610	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	2'6"	10'	0.25	10	Double-Sided, Soft Cotton Chenile Yarn	60	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
