Handle,Width,Depth,Height
mangano-nightstand,26,19,24
mangano-dresser,65,19,34
mangano-mirror,42,1,40
mangano-chest,36,19,54
platinum-legno-dresser,68,20,30
platinum-legno-dresser,54,20,30
platinum-legno-wardrobe,74,24,90
platinum-legno-chest,30,17,46
platinum-legno-nightstand,30,17,20
platinum-legno-mirror,48,1,36
