Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
JORDYN-GREY-DR	gustav	DRESSER		
JORDYN-GREY-FB	gustav	FULL BED		
JORDYN-GREY-KB	gustav	KING BED		
JORDYN-GREY-MR	gustav	MIRROR		
JORDYN-GREY-NS	gustav	NIGHT		
JORDYN-GREY-QB	gustav	QUEEN BED		
JORDYN-WHITE-CH	gustav	CHEST		
JORDYN-WHITE-DR	gustav	DRESSER		
JORDYN-WHITE-FB	gustav	FULL BED		
JORDYN-WHITE-KB	gustav	KING BED		
JORDYN-WHITE-MR	gustav	MIRROR		
JORDYN-WHITE-NS	gustav	NIGHTSTAND		
JORDYN-WHITE-QB	gustav	QUEEN BED		
JULIET-CH	glenn	CHEST SILVER		
JULIET-DR	glenn	DRESSER SILVER		
JULIET-KB	glenn	KING BED SILVER		
JULIET-MR	glenn	MIRROR SILVER		
JULIET-NS	glenn	NIGHT STAND SILVER		
JULIET-QB	glenn	QUEEN BED SILVER		
KATE-FOIL GREY-CH	gwenda	CHEST		
KATE-FOIL GREY-D	gwenda	DRESSER		
KATE-FOIL GREY-M	gwenda	MIRROR		
KATE-FOIL GREY-NS	gwenda	NIGHTSTAND		
KATE-GR-FB 	gwenda	FULL BED		
KATE-GR-KB	gwenda	KING BED		
KATE-GR-QB	gwenda	QUEEN BED		
KATE-WH-FB 	gwenda	FULL BED		
KATE-WH-KB 	gwenda	KING BED		
KATE-WH-QB 	gwenda	QUEEN BED		
KATE-WHITE-CH	gwenda	CHEST		
KATE-WHITE-D	gwenda	DRESSER		
KATE-WHITE-M	gwenda	MIRROR		
KATE-WHITE-NS	gwenda	NIGHTSTAND		
KYLIE-WHITE/SILVER-DR	gyldan	DRESSER		
KYLIE-WHITE/SILVER-KB	gyldan	KING BED		
KYLIE-WHITE/SILVER-LC	gyldan	LINGERIE CHEST		
KYLIE-WHITE/SILVER-MR	gyldan	MIRROR		
KYLIE-WHITE/SILVER-NS	gyldan	NIGHTSTAND		
KYLIE-WHITE/SILVER-QB	gyldan	QUEEN BED		
LINDA-BL-FB (M) 	gabriel	FULL BED BLACK		
LINDA-BL-KB (M)	gabriel	KING BED BLACK		
LINDA-BL-QB (M)	gabriel	QUEEN BED BLACK		
LINDA-M-FB (M)	gabriel	FULL BED MERLOT		
LINDA-M-KB (M)	gabriel	KING BED MERLOT		
LINDA-M-QB (M) 	gabriel	QUEEN BED MERLOT		
LINDA(FD0011A)-BL-M (M)	gabriel	MIRROR		
LINDA(FD0011A)-M (M)	gabriel	MIRROR		
LINDA(FD0011B)-BL-CH (M)	gabriel	CHEST		
LINDA(FD0011B)-BL-D (M) 	gabriel	DRESSER		
LINDA(FD0011B)-BL-NS (M)	gabriel	NIGHTSTAND		
LINDA(FD0011B)-CH (M)	gabriel	CHEST		
LINDA(FD0011B)-D (M) 	gabriel	DRESSER		
LINDA(FD0011B)-NS (M)	gabriel	NIGHTSTAND		
MACKENZIE - CH 	grayson	CHEST		
MACKENZIE - D 	grayson	DRESSER		
MACKENZIE - M	grayson	MIRROR		
MACKENZIE - PEARLIZED WHITE - NS	grayson	NIGHTSTAND		
MACKENZIE-FB	grayson	FULL BED		
MACKENZIE-KB	grayson	KING BED		
MACKENZIE-QB 	grayson	QUEEN BED		
MANHATTAN(961-M)-CH	giovanni	CHEST		
MANHATTAN(961-M)-D	giovanni	DRESSER		
MANHATTAN(961-M)-EKB 	giovanni	KING BED		
MANHATTAN(961-M)-M	giovanni	MIRROR		
MANHATTAN(961-M)-NS	giovanni	NIGHTSTAND		
MANHATTAN(961-M)-QB	giovanni	QUEEN BED		
MARLEY - MERLOT - CH	grant	CHEST		
MARLEY - MERLOT - DR	grant	DRESSER		
MARLEY - MERLOT - MR	grant	MIRROR		
MARLEY - MERLOT - NS	grant	NIGHTSTAND		
MARLEY - SILVER - CH	grant	CHEST		
MARLEY - SILVER - DR	grant	DRESSER		
MARLEY - SILVER - MR	grant	MIRROR		
MARLEY - SILVER - NS	grant	NIGHTSTAND		
MARLEY-M-KB	grant	KING BED MERLOT		
MARLEY-M-QB	grant	QUEEN BED MERLOT		
MARLEY-S-FB	grant	FULL BED SILVER		
MARLEY-S-KB	grant	KING BED SILVER		
MARLEY-S-QB	grant	QUEEN BED SILVER		
MARSEILLE-CH-KB W/O TOWER	graham	CHERRY KING BED WITHOUT TOWER		
MARSEILLE-CH-KB W/TOWER	graham	CHERRY KING BED WITH TOWER		
MARSEILLE-CH-QB W/O TOWER	graham	CHERRY QUEEN  BED WITHOUT TOWER		
MARSEILLE-CH-QB W/TOWER	graham	CHERRY QUEEN  BED WITH TOWER		
MARSEILLE-CHERRY-CH	graham	CHEST CHERRY W/BROWN PU		
MARSEILLE-CHERRY-DR	graham	DRESSER CHERRY W/BROWN PU		
MARSEILLE-CHERRY-MR	graham	MIRROR CHERRY W/BROWN PU		
MARSEILLE-CHERRY-NS W/USB	graham	NIGHTSTAND W/ USB CHERRY W/BROWN PU		
MARSEILLE-GR-KB W/O TOWER	graham	GREY KING BED WITHOUT TOWER		
MARSEILLE-GR-KB W/TOWER	graham	GREY KING BED WITH TOWER		
MARSEILLE-GR-QB W/O TOWER	graham	GREY QUEEN  BED WITHOUT TOWER		
MARSEILLE-GR-QB W/TOWER	graham	GREY QUEEN  BED WITH TOWER		
MARSEILLE-GREY NS W/USB	graham	NIGHTSTAND W/ USB GREY		
MARSEILLE-GREY-CH	graham	CHEST GREY		
MARSEILLE-GREY-DR	graham	DRESSER GREY		
MARSEILLE-GREY-MR	graham	MIRROR GREY		
MIA-BL-FB	griffin	FULL BED		
MIA-BL-KB	griffin	KING BED		
MIA-BL-QB	griffin	QUEEN BED		
MIA-METALLIC BLACK-CH	griffin	CHEST METALLIC BLACK		
MIA-METALLIC BLACK-DR	griffin	DRESSER METALLIC BLACK		
MIA-METALLIC BLACK-MR	griffin	MIRROR METALLIC BLACK		
MIA-METALLIC BLACK-NS	griffin	NIGHT STAND METALLIC BLACK		
MIRROR-CHAMP-CH	gideon	CHEST		
MIRROR-CHAMP-D	gideon	DRESSER		
MIRROR-CHAMP-FB "STORAGE"	gideon	FULL BED CHOCOLATE		
MIRROR-CHAMP-KB "STORAGE"	gideon	KING BED CHAMPAGNE		
MIRROR-CHAMP-M	gideon	MIRROR		
MIRROR-CHAMP-NS	gideon	NIGHTSTAND		
MIRROR-CHAMP-QB "STORAGE"	gideon	QUEEN BED CHAMPAGNE		
MIRROR-CHOC-CH	gage	CHEST		
MIRROR-CHOC-D	gage	DRESSER		
MIRROR-CHOC-FB "STORAGE"	gage	FULL BED CHOCOLATE		
MIRROR-CHOC-KB "STORAGE"	gage	KING BED CHOCOLATE		
MIRROR-CHOC-M	gage	MIRROR		
MIRROR-CHOC-NS	gage	NIGHTSTAND		
MIRROR-CHOC-QB "STORAGE"	gage	QUEEN BED CHOCOLATE		
MIRROR(8856)-CHAMP-FB "UPHOLSTERED" 	grady	FULL BED CHAMPAGNE		
MIRROR(8856)-CHAMP-KB "UPHOLSTERED" 	grady	KING BED CHAMPAGNE		
MIRROR(8856)-CHAMP-QB "UPHOLSTERED"	grady	QUEEN BED CHAMPAGNE		
MONTEREY-CH	gregory	CHEST BROWN		
MONTEREY-DR	gregory	DRESSER BROWN		
MONTEREY-KB	gregory	KING BED BROWN		
MONTEREY-MR	gregory	MIRROR BROWN		
MONTEREY-NS	gregory	NIGHT STAND BROWN		
MONTEREY-QB	gregory	QUEEN BED BROWN		
NOMA- FB	gerardo	FULL BED		
NOMA-CH	gerardo	CHEST		
NOMA-D	gerardo	DRESSER		
NOMA-KB	gerardo	KING BED		
NOMA-MR	gerardo	MIRROR		
NOMA-NS	gerardo	NIGHTSTAND		
NOMA-QB	gerardo	QUEEN BED		
NORTH(138)-CH	gianni	CHEST		
NORTH(138)-DR 	gianni	DRESSER		
NORTH(138)-KB	gianni	KING BED		
NORTH(138)-MR	gianni	MIRROR		
NORTH(138)-NS	gianni	NIGHTSTAND		
NORTH(138)-QB	gianni	QUEEN BED		
PARIS- KB	gannon	KING BED CHAMPAGNE		
PARIS- QB	gannon	QUEEN BED CHAMPAGNE		
PARIS-CHAMPAGNE-BN	gannon	BENCH CHAMPAGNE		
PARIS-CHAMPAGNE-CH W/ AL	gannon	CHEST WITH ACRLYIC LEGS CHAMPAGNE		
PARIS-CHAMPAGNE-DR W/JEWELRY DR & AL	gannon	DRESSER W/JEWELRY DR & ACRYLIC LEGS CHAMPAGNE		
PARIS-CHAMPAGNE-MR W/LIGHT	gannon	MIRROR W/LIGHT CHAMPAGNE		
PARIS-CHAMPAGNE-NS W/ AL	gannon	NIGHTSTAND WITH ACRYLIC LEGS CHAMPAGNE		
PENELOPE-CH	guillermo	CHEST		
PENELOPE-D	guillermo	DRESSER		
PENELOPE-KB	guillermo	KING BED		
PENELOPE-M	guillermo	MIRROR		
PENELOPE-NS	guillermo	NIGHTSTAND		
PENELOPE-QB	guillermo	QUEEN BED		
PISA-FB	gordon	FULL BED METALLIC GREY		
PISA-KB	gordon	KING BED METALLIC GREY		
PISA-METALLIC GREY-CH	gordon	METALLIC GREY CHEST		
PISA-METALLIC GREY-DR	gordon	METALLIC GREY DRESSER		
PISA-METALLIC GREY-MR W/LIGHT	gordon	METALLIC GREY MIRROR W/LED		
PISA-METALLIC GREY-NS	gordon	METALLIC GREY NIGHTSTAND		
PISA-QB	gordon	QUEEN BED METALLIC GREY		
POMPEI-GR-FB	gerald	FULL BED		
POMPEI-GR-KB	gerald	KING BED		
POMPEI-GR-QB	gerald	QUEEN BED		
POMPEI-METALLIC GREY-CH	gerald	CHEST METALLIC GREY		
POMPEI-METALLIC GREY-DR	gerald	DRESSER METALLIC GREY		
POMPEI-METALLIC GREY-MR	gerald	MIRROR METALLIC GREY		
POMPEI-METALLIC GREY-NS	gerald	NIGHTSTAND METALLIC GREY		
POMPEI-METALLIC WHITE-CH	gerald	CHEST		
POMPEI-METALLIC WHITE-DR	gerald	DRESSER		
POMPEI-METALLIC WHITE-MR	gerald	MIRROR		
POMPEI-METALLIC WHITE-NS	gerald	NIGHTSTAND		
POMPEI-WH-FB	gerald	FULL BED		
POMPEI-WH-KB	gerald	KING BED		
POMPEI-WH-QB	gerald	QUEEN BED		
PORTOFINO-GOLD-CH	goldie	CHEST GOLD		
PORTOFINO-GOLD-DR	goldie	DRESSER GOLD		
PORTOFINO-GOLD-FB	goldie	FULL BED		
PORTOFINO-GOLD-KB	goldie	KING BED		
PORTOFINO-GOLD-MR 	goldie	MIRROR GOLD		
PORTOFINO-GOLD-NS	goldie	NIGHT STAND GOLD		
PORTOFINO-GOLD-QB	goldie	QUEEN BED		
REINA-CHAMPAGNE-DR	gibson	DRESSER		
REINA-CHAMPAGNE-KB	gibson	KING BED		
REINA-CHAMPAGNE-LC	gibson	LINGERIE CHEST		
REINA-CHAMPAGNE-MR	gibson	MIRROR		
REINA-CHAMPAGNE-NS	gibson	NIGHTSTAND		
REINA-CHAMPAGNE-QB	gibson	QUEEN BED		
REMI-SILVER-CH	gatlin	CHEST 		
REMI-SILVER-DR	gatlin	DRESSER		
REMI-SILVER-KB	gatlin	KING BED		
REMI-SILVER-MR W/LED	gatlin	MIRROR W/LED		
REMI-SILVER-NS	gatlin	NIGHTSTAND		
REMI-SILVER-QB	gatlin	QUEEN BED		
RILEY (1621) CHEST	giancarlo	CHEST		
RILEY (1621) DRESSER	giancarlo	DRESSER		
RILEY (1621) MIRROR	giancarlo	MIRROR		
RILEY (1621) NIGHT STAND	giancarlo	NIGHTSTAND		
RILEY-FB	giancarlo	FULL BED SILVER		
RILEY-KB	giancarlo	KING BED SILVER		
RILEY-QB	giancarlo	QUEEN BED SILVER		
ROSA-KB (BX) (M)	garrison	KING BED		
ROSA-QB (BX) (M)	garrison	QUEEN BED		
ROSA(FD0060A)-CH (M)	garrison	CHEST		
ROSA(FD0060A)-D (M)	garrison	DRESSER		
ROSA(FD0060A)-NS (M)	garrison	NIGHTSTAND		
ROSA(FD0060C)-M (M)	garrison	MIRROR		
SALERNO-BL-FB	gino	FULL BED 		
SALERNO-BL-KB	gino	KING BED		
SALERNO-BL-QB	gino	QUEEN BED		
SALERNO-M-FB	gino	FULL BED		
SALERNO-M-KB	gino	KING BED		
SALERNO-M-QB	gino	QUEEN BED		
SANTORINI-METALLIC WHITE-CH	granger	CHEST 		
SANTORINI-METALLIC WHITE-DR	granger	DRESSER		
SANTORINI-METALLIC WHITE-MR	granger	MIRROR 		
SANTORINI-METALLIC WHITE-NS	granger	NIGHTSTAND		
SANTORINI-WH-FB	granger	FULL BED METALLIC WHITE/MARBLE		
SANTORINI-WH-KB	granger	KING BED METALLIC WHITE/MARBLE		
SANTORINI-WH-QB	granger	QUEEN BED METALLIC WHITE/MARBLE		
SEVILLE-FB	gonzalo	FULL BED		
SEVILLE-KB	gonzalo	KING BED		
SEVILLE-MALAMINE GREY-CH	gonzalo	CHEST W/JEWELRY DR MALAMINE GREY		
SEVILLE-MALAMINE GREY-DR	gonzalo	DRESSER W/JEWELRY DR MALAMINE GREY		
SEVILLE-MALAMINE GREY-MR	gonzalo	MIRROR MALAMINE GREY		
SEVILLE-MALAMINE GREY-NS	gonzalo	NIGHT STAND MALAMINE GREY		
SEVILLE-QB	gonzalo	QUEEN BED		
SOFIA-PEARL WHITE-CH-AL	gerson	CHEST W/ACRYLIC LEGS		
SOFIA-PEARL WHITE-D-AL	gerson	DRESSER W/ACRYLIC LEGS		
SOFIA-PEARL WHITE-M W/LED 	gerson	MIRROR W/LED		
SOFIA-PEARL WHITE-NS-AL 	gerson	NIGHTSTAND W/ACRYLIC LEGS		
SOFIA-WH-FB	gerson	FULL BED		
SOFIA-WH-KB	gerson	KING BED		
SOFIA-WH-QB	gerson	QUEEN BED		
SOHO-SILVER-CH	gentry	CHEST		
SOHO-SILVER-DR	gentry	DRESSER		
SOHO-SILVER-KB	gentry	KING BED		
SOHO-SILVER-MR	gentry	MIRROR		
SOHO-SILVER-NS	gentry	NIGHTSTAND		
SOHO-SILVER-QB	gentry	QUEEN BED		
SONIA-BL-FB	gadiel	FULL BED 		
SONIA-BL-KB	gadiel	KING BED		
SONIA-BL-QB	gadiel	QUEEN BED		
SONIA-BLACK-CH W/ TR GLITTER-AL	gadiel	CHEST W/ACRYLIC LEGS		
SONIA-BLACK-DR-TR GLITTER-AL	gadiel	DRESSER W/ACRYLIC LEGS		
SONIA-BLACK-M W/LED	gadiel	MIRROR W/LED		
SONIA-BLACK-NS W/ TR GLITTER-AL	gadiel	NIGHTSTANAD W/ACRYLIC LEGS		
VERONA-GOLD-CH	gene	CHEST GOLD		
VERONA-GOLD-DR	gene	DRESSER GOLD		
VERONA-GOLD-FB	gene	FULL BED		
VERONA-GOLD-KB	gene	KING BED		
VERONA-GOLD-M	gene	MIRROR GOLD		
VERONA-GOLD-NS	gene	NIGHT STAND GOLD		
VERONA-GOLD-QB	gene	QUEEN BED		
VERONA-GOLD-TB	gene	TWIN BED		
VERONA-SILVER-CH	gene	CHEST GOLD		
VERONA-SILVER-DR	gene	DRESSER GOLD		
VERONA-SILVER-FB	gene	FULL BED		
VERONA-SILVER-KB	gene	KING BED		
VERONA-SILVER-M	gene	MIRROR GOLD		
VERONA-SILVER-NS	gene	NIGHT STAND GOLD		
VERONA-SILVER-QB	gene	QUEEN BED		
VERONA-SILVER-TB	gene	TWIN BED		
VICTORIA-CH	gabe	CHEST		
VICTORIA-D	gabe	DRESSER		
VICTORIA-KB	gabe	KING BED		
VICTORIA-M 	gabe	MIRROR		
VICTORIA-NS	gabe	NIGHTSTAND		
VICTORIA-QB	gabe	QUEEN BED		
AURORA-W-EU	genaro	ENTERTAINMENT UNIT		
AURORA-WH-EU	genaro	ENTERTAINMENT UNIT		
D3355-BUFFET	geno	BUFFET		
D4126N - BUFFET	gio	BUFFET		
D4127N-BUFFET	giacomo	BUFFET		
D1446BS - BL	gamaliel	BARSTOOL		
D1446BS - GR	gamaliel	BARSTOOL		
D1446BS - R	gamaliel	BARSTOOL		
D1446BS - WH	gamaliel	BARSTOOL		
D368BS 	geronimo	BARSTOOL		
D4041BS-GREY PU	gotham	BARSTOOL		
D4126BS	gohan	BARSTOOL		
D7035BS	giuliano	BARSTOOL		
D705BS	gaspar	BARSTOOL		
D9002BS-BLK 	gianluca	BARSTOOL		
D9002BS-WHT	gianluca	BARSTOOL		
D915BS-BLK	garrick	BARSTOOL		
D915BS-GRY	garrick	BARSTOOL		
D915BS-WHT	garrick	BARSTOOL		
D1021DC-BLK/GRY 	gaetano	DINING CHAIR BLACK/GREY		
D1021DC-BLK/RED	gaetano	DINING CHAIR BLACK/RED		
D1021DC-BLK/ROYAL BLUE	gaetano	DINING CHAIR BLACK/BLUE		
D1058DC (M)	greeta	DINING CHAIR		
D1067DC - WH	garda	DINING CHAIR		
D1067DC- BL 	garda	DINING CHAIR		
D140DC (M)	glynice	DINING CHAIR		
D1609DC-BLACK	gaines	DINING CHAIR BLACK PU		
D1609DC-BLACK VELVET	gaines	DINING CHAIR BLACK VELVET		
D1609DC-BLUE VELVET	gaines	DINING CHAIR BLUE VELVET		
D1609DC-WHITE	gaines	DINING CHAIR BLUE VELVET		
D3355DC	galel	DINING CHAIR SILVER		
D4126NDC	galileo	DINING CHAIR		
D4127NDC	galileo	DINING CHAIR		
D41DC-BLACK	galip	DINING CHAIR BLK WITH BLK STITCH		
D41DC-WHITE	galip	DINING CHAIR WHT WITH WHT STITCH		
D4511DC (M)	gallagher	DINING CHAIR		
D4878DC-BL	galloway	DINING CHAIR		
D4878DC-TURQ	ganix	DINING CHAIR		
D4878DC-WH	ganix	DINING CHAIR		
D4957DC	gardner	DINING CHAIR VELVET 		
D7012DC	garth	DINING CHAIR BLACK		
D716DC (M) 	garvey	DINING CHAIR		
D8110DC-BLUE	gautama	DINING CHAIR BLUE 		
D8110DC-LT GRY	gautama	DINING CHAIR BLUE 		
D8110DC-MAUVE	gautama	DINING CHAIR MAUVE		
D858DC	gefen	DINING CHAIR		
D9002DC-BL (M)	gellert	DINING CHAIR		
D9002DC-WH (M)	gellert	DINING CHAIR		
D915DC-GR	gemini	DINING CHAIR		
D915DC-BLK	gemini	DINING CHAIR		
D915DC-WHT	gemini	DINING CHAIR		
DC27DC	genie	DINING CHAIR METALLIC GREY W/CRYSTALS		
D1058NDT (M)	gennadiya	DINING TABLE		
D1182DT-BL	gerd	DINING TABLE BLACK		
D1182DT-WH	gerd	DINING TABLE WHITE		
D1274DT	garwyn	DINING TABLE WHITE & GREY		
D1530DT	gergely	DINING TABLE BLACK GLASS		
D1628DT	gergo	DINING TABLE		
D1713DT	gervais	DINING TABLE		
D2056DT	gessica	DINING TABLE		
D2160DT	giacinta	DINING TABLE		
D219DT	giles	DINING TABLE		
D2279DT 	giliam	DINING TABLE		
D2691DT	gilon	DINING TABLE BLACK		
D30DT	gilroy	DINING TABLE		
D3355DT-EXT	gittan	DINING TABLE W/EXTENSION SILVER		
D368DT (M)	glenwood	DINING TABLE		
D3975DT	glenys	DINING TABLE		
D4126NDT	goddard	DINING TABLE		
D4127DT	godric	DINING TABLE		
D4801DT	golan	DINING TABLE		
D551DT	goode	DINING TABLE		
D716DT (M)	goodwin	DINING TABLE		
D858DT	gormlaith	DINING TABLE		
D894DT	gosta	DINING TABLE		
D9002DT (M)	gottlieb	DINING TABLE		
D92011DT	graine	EXTENDABLE DINING TABLE 		
D987DT 	granville	DINING TABLE		
