Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
U8351-LS 	n/a	LOVESEAT	n/a	gwyndolin-loveseat
U8351-CH	n/a	CHAIR	n/a	gwyndolin-chair
U9908-BL-S W/LEGS (M)	n/a	SOFA W/LEGS	n/a	gabriela-sofa
U9908-BL-S (M)	n/a	SOFA	n/a	
U9908-S-L	n/a	 SOFA LEGS	n/a	
U9908-BL-L W/LEGS (M)	n/a	LOVESEAT W/LEGS	n/a	gabriela-loveseat
U9908-BL-L (M)	n/a	LOVESEAT	n/a	
U9908-L-L	n/a	 LOVESEAT LEGS	n/a	
U9908-BL-CH W/LEGS (M)	n/a	CHAIR W/LEGS	n/a	gabriela-chair
U9908-BL-CH (M)	n/a	CHAIR	n/a	
U9908-CH-L	n/a	 CHAIR LEGS	n/a	
U0040 - RS (M)	n/a	RECLINING SOFA	n/a	gia-reclining-sofa
U0040 - CRLS (M)	n/a	CONSOLE RECLINING LOVESEAT	n/a	gia-reclining-loveseat-with-cupholder-console
U0040 - GR (M) 	n/a	GLIDER RECLINER	n/a	gia-reclining-chair
U0040-ESPRESSO-RS	n/a	RECLINING SOFA	n/a	gia-reclining-sofa
U0040-ESPRESSO-CRLS	n/a	CONSOLE RECLINING LOVESEAT	n/a	gia-reclining-loveseat-with-cupholder-console
U0040-ESPRESSO-GR	n/a	GLIDER RECLINER	n/a	gia-reclining-chair
U7303C-RS W/DDT (SP)	n/a	RECLINING SOFA W/DDT	n/a	giada-reclining-sofa
U7303C-CRLS W/DRAWER (SP) 	n/a	CONSOLE LOVESEAT W/DROP DOWN TABLE & DRAWER	n/a	giada-loveseat-with-cupholder-console
U7303C-GIN RUMMY CHARCOAL-GRC (SP)	n/a	GLIDER RECLINER	n/a	giada-reclining-chair
U9303C-BR-R/S W/CONTRAST STITCHING(M) (SP)	n/a	RECLINING SOFA	n/a	gwendolyn-reclining-sofa
U9303C-BR-R/L W/CONTRAST STITCHING(M) (SP)	n/a	RECLINING LOVESEAT	n/a	gwendolyn-reclining-loveseat
U9303C-BR-G/R W/CONTRAST STITCHING(M) (SP)	n/a	GLIDER RECLINER	n/a	gwendolyn-reclining-chair
U8311-BLANCHE WHITE-PRS	n/a	POWER RECLINING SOFA BLANCHE WHITE	n/a	gracie-power-reclining-sofa
U8311-BLANCHE WHITE-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT BLANCHE WHITE	n/a	gracie-power-reclining-loveseat-with-cupholder-console
U8311-BLANCHE WHITE-PR	n/a	POWER RECLINER BLANCHE WHITE	n/a	gracie-power-reclining-chair
U8311-BLANCHE BLACK-PRS	n/a	POWER RECLINING SOFA BLANCHE BLACK	n/a	gracie-power-reclining-sofa
U8311-BLANCHE BLACK-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT BLANCHE BLACK	n/a	gracie-power-reclining-loveseat-with-cupholder-console
U8311-BLANCHE BLACK-PR	n/a	POWER RECLINER BLANCHE BLACK	n/a	gracie-power-reclining-chair
U8311-BLUE VELVET-PRS	n/a	POWER RECLINING SOFA BLUE VELVET (HLR-64)	n/a	gracie-power-reclining-sofa
U8311-BLUE VELVET-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT BLUE VELVET (HLR-64)	n/a	gracie-power-reclining-loveseat-with-cupholder-console
U8311-BLUE VELVET-PR	n/a	POWER RECLINER BLUE VELVET (HLR-64)	n/a	gracie-power-reclining-chair
U17016-AGNES COFFEE-CH	n/a	CHAIR AGNES COFFEE	n/a	agnes-chair
U17016-AGNES COFFEE-LS	n/a	LOVESEAT AGNES COFFEE	n/a	agnes-loveseat
U17016-AGNES COFFEE-S	n/a	SOFA AGNES COFFEE	n/a	agnes-sofa
U8078-SULTRY DRK BROWN/PECAN-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT	n/a	georgia-power-reclining-loveseat-with-cupholder-console
U8078-SULTRY DRK BROWN/PECAN-PR	n/a	POWER RECLINER 	n/a	georgia-power-reclining-chair
U8078-SULTRY DRK BROWN/PECAN-PRS	n/a	POWER RECLINER SOFA	n/a	georgia-power-reclining-sofa
U2033-GREY-S	n/a	SOFA	n/a	guinevere-sofa
U2033-GREY-L	n/a	LOVESEAT	n/a	guinevere-loveseat
U2033-GREY-CH	n/a	CHAIR	n/a	guinevere-chair
U8360-BLANCHE BLACK-CH	n/a	CHAIR BLANCHE BLACK	n/a	gretchen-chair
U8360-BLANCHE BLACK-LS	n/a	LOVESEAT BLANCHE BLACK	n/a	gretchen-loveseat
U8360-BLANCHE BLACK-S	n/a	SOFA BLANCHE BLACK	n/a	gretchen-sofa
UFM801-DRK GRY VELVET CC-68-CH	n/a	CHAIR W/ 1 PILLOW (3001-5) DRK GRY(CC-68)/SILVER (S-015M)	n/a	gwen-chair
UFM801-DRK GRY VELVET CC-68-LS	n/a	LOVESEAT W/ 3 PILLOWS (3001-5/ZH818) DRK GRY(CC-68)/SILVER (S-015M)	n/a	gwen-loveseat
UFM801-DRK GRY VELVET CC-68-S	n/a	SOFA W/ 4 PILLOWS (3001-5/ZH8181) DRK GRY(CC-68)/SILVER (S-015M)	n/a	gwen-sofa
UFM802A-DRK GRY VELVET CC-68-CH	n/a	CHAIR W/AL & 1 PILLOW (3001-5/ZH8181) DARK GREY (CC-68) / S-006	n/a	greta-chair
UFM802A-DRK GRY VELVET CC-68-LS	n/a	LOVESEAT W/AL & 3PILLOWS (3001-5/ZH8181) DARK GREY (CC-68) / S-006	n/a	greta-loveseat
UFM802A-DRK GRY VELVET CC-68-S	n/a	SOFA W/AL & 4 PILLOWS (3001-5/ZH8181) DARK GREY (CC-68) / S-006	n/a	greta-sofa
U9460-BLANCHE WHITE-CH	n/a	CHAIR BLANCHE WHITE	n/a	gladys-chair
  U9460-BLANCHE WHITE-LS 	n/a	LOVESEAT BLANCHE WHITE	n/a	gladys-loveseat
U9460-BLANCHE WHITE-S	n/a	SOFA BLANCHE WHITE	n/a	gladys-sofa
UFM365-BLACK VELVET F180-50-CH	n/a	CHAIR BLACK VELVET 	n/a	gigi-chair
UFM365-BLACK VELVET F180-50-LS	n/a	LOVESEAT BLACK VELVET 	n/a	gigi-loveseat
UFM365-BLACK VELVET F180-50-S	n/a	SOFA BLACK VELVET 	n/a	gigi-sofa
U1800-DTP932-7-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT TWO TONE GRY (DTP932-7/LT)	n/a	gertrude-power-reclining-loveseat-with-cupholder-console
U1800-DTP932-7-PR	n/a	POWER RECLINER TWO TONE GRY (DTP932-7/LT)	n/a	gertrude-power-reclining-chair-with-cupholder-console
U1800-DTP932-7-PRS	n/a	POWER RECLINING SOFA TWO TONE GRY (DTP932-7/LT	n/a	gertrude-power-reclining-sofa-with-cupholder-console
U1876-BLANCHE LIVIDITY-PCRLS	n/a	POWER RECLINING LOVESEAT BLANCHE LIVIDITY/CHALK WELT	n/a	gillian-power-reclining-loveseat
U1876-BLANCHE LIVIDITY-PR	n/a	POWER RECLINER BLANCHE LIVIDITY/CHALK WELT	n/a	gillian-power-reclining-chair
U1876-BLANCHE LIVIDITY-PRS	n/a	POWER RECLINING SOFA BLANCHE LIVIDITY/CHALK WELT	n/a	gillian-power-reclining-sofa
U1706-AGNES ESPRESSO-PRS W/ DDT & PHR	n/a	POWER RECLINING SOFA W/ DDT, POWER HEADREST, & USB	n/a	giuliana-power-reclining-sofa-with-power-adjusting-headrest
U1706-AGNES ESPRESSO-PCRLS W/ PHR	n/a	POWER RECLINING LOVESEAT W/ DDT, POWER HEADREST, & USB	n/a	giuliana-power-reclining-loveseat-with-power-adjusting-headrest
U1706-AGNES ESPRESSO-PR W/ PHR	n/a	POWER RECLINER W/POWER HEADREST, & USB	n/a	giuliana-power-reclining-chair-with-power-adjusting-headrest
UM08-SL70110-2 DRK GREY-GR	n/a	GLIDER RECLINER DARK GREY (SL70110-2)	n/a	geraldine-reclining-chair
UM08-SL70110-2 DRK GRY-CRLS	n/a	CONSOLE RECLINING LOVESEAT DARK GREY (SL70110-2)	n/a	geraldine-reclining-loveseat-with-cupholder-console
   UM08-SL70110-2 DRK GRY-RS 	n/a	RECLINING SOFA DARK GREY (SL70110-2)	n/a	geraldine-reclining-sofa
U12016-AGNES COFFEE-PCRLS	n/a	POWER CONSOLE RECLINING LOVESEAT AGNES COFFEE	n/a	glenda-power-reclining-loveseat-with-cupholder-console
U12016-AGNES COFFEE-PR	n/a	POWER RECLINER AGNES COFFEE	n/a	glenda-power-reclining-chair
U12016-AGNES COFFEE-PRS	n/a	POWER RECLINING SOFA AGNES COFFEE	n/a	glenda-power-reclining-sofa
U1867-LT06 CHALK LG-PCRLS W/PHR	n/a	POWER CONSOLE REC LOVESEAT W/ PHR CHALK (LT06)	n/a	griselda-power-reclining-loveseat-with-cupholder-console
U1867-LT06 CHALK LG-PR W/ PHR	n/a	POWER RECLINER W/ PWR HEADREST CHALK (LT06)	n/a	griselda-power-reclining-chair-with-power-adjusting-headrest
U1867-LT06 CHALK LG-PRS W/ PHR & DDT	n/a	PWR RECLINING SOFA W/ PHR & DDT CHALK (LT06)	n/a	griselda-power-reclining-sofa
   U8900-BLK VELVET CC29-PCRLS 	n/a	POWER CONSOLE RECLINING LOVESEAT BLACK VELVET (CC-29)	n/a	ginny-power-reclining-loveseat-with-cupholder-console
U8900-BLK VELVET CC29-PR	n/a	POWER RECLINER BLACK VELVET (CC-29)	n/a	ginny-power-reclining-chair
U8900-BLK VELVET CC29-PRS	n/a	POWER CONSOLE RECLINING SOFA BLACK VELVET (CC-29)	n/a	ginny-power-reclining-sofa-with-cupholder-console
U9090-BLANCHE LIVDITY/STEEL-PR	n/a	POWER RECLINER BLANCHE LIVIDITY/STEEL	n/a	gwenevere-power-reclining-chair
U9090-BLANCHE LIVDITY/STEEL-PRLS	n/a	POWER RECLINING LOVESEAT BLANCHE LIVIDITY/STEEL	n/a	gwenevere-power-reclining-loveseat
U9090-BLANCHE LIVDITY/STEEL-PRS	n/a	POWER RECLINING SOFA BLANCHE LIVIDITY/STEEL	n/a	gwenevere-power-reclining-sofa
   U9345-JS520-D07-CH 	n/a	CHAIR 	n/a	georgette-chair
U9345-JS520-D07-LS	n/a	LOVESEAT	n/a	georgette-loveseat
   U9345-JS520-D07-S 	n/a	SOFA	n/a	georgette-sofa
   U6109-LIGHT GRY PVC-CH 	n/a	CHAIR	n/a	gabi-chair
   U6109-LIGHT GRY PVC-LS 	n/a	LOVESEAT	n/a	gabi-loveseat
U6109-LIGHT GRY PVC-S	n/a	SOFA	n/a	gabi-sofa
U970-CHARCOAL-CH	n/a	CHAIR	n/a	gisela-chair
U970-CHARCOAL-LS	n/a	LOVESEAT	n/a	gisela-loveseat
U970-CHARCOAL-S	n/a	SOFA	n/a	gisela-sofa
 U7303C-DOMINO GRANITE-CRLS W/DRAWER	n/a	CONSOLE RECLINING LOVESEAT W/DRAWER	n/a	gretel-reclining-loveseat-with-cupholder-console
  U7303C-DOMINO GRANITE-GR 	n/a	GLIDER RECLINER	n/a	gretel-reclining-chair
U7303C-DOMINO GRANITE-RS W/DDT	n/a	RECLINING SOFA W/ DROP DOWN TABLE&DRAWER	n/a	gretel-reclining-sofa-with-dropdown-table
  U7303C-GOAT SMOKE-CRLS W/DRAWER 	n/a	CONSOLE RECLINING LOVESEAT W/DRAWER	n/a	gretel-reclining-loveseat-with-cupholder-console
U7303C-GOAT SMOKE-GR	n/a	GLIDER RECLINER	n/a	gretel-reclining-chair
U7303C-GOAT SMOKE-RS W/DDT	n/a	RECLINING SOFA W/ DROP DOWN TABLE&DRAWER	n/a	gretel-reclining-sofa-with-dropdown-table
U7303C-DOMINO COFFEE-CRLS W/DRAWER	n/a	CONSOLE RECLINING LOVESEAT W/DRAWER	n/a	gretel-reclining-loveseat-with-cupholder-console
U7303C-DOMINO COFFEE-GR	n/a	GLIDER RECLINER	n/a	gretel-reclining-chair
