						
2061-dining-table	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	79	40	30
989-dining-table	White	Eco Leather, Glass, Stainless Steel, MDF	High Gloss Lacquer	71	39	30
365-dining-chair	White	Eco Leather, Glass, Stainless Steel, MDF	High Gloss Lacquer	17	23	42
ambra-dining-mirror	Light Beige	Wood veneer, MDF	High Gloss Lacquer	47	1	35
ambra-extendable-dining-table	Light Beige	Wood veneer, MDF	High Gloss Lacquer	79/98	40	29.5
ambra-side-chair	Light Beige	Wood veneer, MDF	High Gloss Lacquer	20	20	41
ambra-buffet-cabinet	Light Beige	Wood veneer, MDF	High Gloss Lacquer	70	20	33
ambra-vitrine	Light Beige	Wood veneer, MDF	High Gloss Lacquer	46	19	75
oxford-china-cabinet	Grey/Silver	Eco Leather, Wood-based panel, Glass	High Gloss Lacquer	43	19	77
oxford-buffet-cabinet	Grey/Silver	Eco Leather, Wood-based panel, Glass	High Gloss Lacquer	64	19	36
oxford-dining-chair	Grey/Silver	Eco Leather, Wood-based panel, Glass	High Gloss Lacquer	19	22	40
oxford-buffet-mirror	Grey/Silver	Eco Leather, Wood-based panel, Glass	High Gloss Lacquer	63	1	33
oxford-extendable-dining-table	Grey/Silver	Eco Leather, Wood-based panel, Glass	High Gloss Lacquer	63/79	35	29.5
kiu-tv-module	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	59.06	15.75	23.62
kiu-mirror	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	39.37	1.97	39.37
kiu-side-chair	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	20.08	23.62	44.88
kiu-china-cabinet	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	39.37	15.75	77.17
kiu-buffet-cabinet	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	59.06	15.75	37.8
kiu-dining-table	White, Grey/Silver	Eco Leather, Glass, MDF	High Gloss Lacquer, Mat	78.74	39.37	29.53
ambra-extendable-dining-table	Black, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	79/98	40	30
ambra-buffet-cabinet	Black, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer			
ambra-side-chair	Black, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	20	20	41
ambra-dining-mirror	Black, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	47	1	35
ambra-china-cabinet	Black, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	46	19	73
pamela-arm-chair	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer	20	22	41
pamela-side-chair	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer	20	22	41
pamela-extendable-dining-table	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer	71/89	41	30
pamela-buffet-cabinet	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer	63	19	32
pamela-buffet-mirror	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer			
pamela-china-cabinet	Brown/Wenge/Walnut, Red/Orange/Mahogany/Pink/Purple	Wood-based panel	High Gloss Lacquer	63	19	85
melodia-office-chair	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-dining-table	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-arm-chair	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	19.69	24.41	40.94
melodia-side-chair	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	19.69	19.69	40.94
melodia-extendable-oval-table	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	78.74/98.43	46.46	30.7
melodia-extendable-oval-table	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-extendable-round-table	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-buffet-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-buffet-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	84	21	34
melodia-buffet-mirror	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	58	2	37
melodia-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	80	21	84
melodia-desk	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-bookcase	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-tv-cabinet	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-tv-wall-unit	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
melodia-buffet-mirror	Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer			
aida-buffet-cabinet	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	49	19.5	31
aida-buffet-cabinet	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	64	19.5	31
aida-extendable-dining-table	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	73/91	42	31
aida-arm-chair	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	24	25	41
aida-side-chair	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	20	23	41
aida-china-cabinet	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	65	21	84
aida-dining-mirror	Yellow/Gold, Light Beige	Wood veneer, Glass, MDF	High Gloss Lacquer	41	3	47
elite-extendable-dining-table	Light Beige	Eco Leather, Glass, MDF	High Gloss Lacquer	79/98	40	29.5
elite-china-cabinet	Light Beige	Eco Leather, Glass, MDF	High Gloss Lacquer	49	17	78
elite-buffet-cabinet	Light Beige	Eco Leather, Glass, MDF	High Gloss Lacquer	53	22	34
elite-dining-chair	Light Beige	Eco Leather, Glass, MDF	High Gloss Lacquer	20	20	41
roma-curio-display-cabinet	White	Wood veneer, Glass, MDF	High Gloss Lacquer	43.5	19	75
donatello-buffet-mirror	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	65	2	45
donatello-china-cabinet	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	78	23	91
donatello-rectangular-extendable-dining-table	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	79/98	43	31
donatello-buffet-cabinet	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	82	22	40
donatello-side-chair	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	19	22	41
donatello-arm-chair	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	22	22	41
donatello-china-cabinet	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, MDF	High Gloss Lacquer	78	23	91
liberty-china-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	72.05	18.09	87.01
liberty-china-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-china-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-tv-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-buffet-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-buffet-cabinet	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	85.83	22.83	36.61
liberty-square-mirror	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-buffet-mirror	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	68.9	1.1	44.88
liberty-rectangular-extendable-table	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-rectangular-extendable-table	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	78.74/98.42	43.31	30.31
liberty-rectangular-extendable-table	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-square-extendable-table	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-side-chair	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	21.26	26.77	40.94
liberty-arm-chair	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	24.01	26.77	40.94
liberty-wall-mirror-mural	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-wall-unit	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat			
liberty-round-table	White, Light Beige	Solid Wood, Wood veneer, Wood-based panel	High Gloss Lacquer, Mat	58	58	
elegance-china-cabinet	White, Grey/Silver	Fabric, Wood-based panel	High Gloss Lacquer	42	18	72.5
elegance-buffet-cabinet	White, Grey/Silver	Fabric, Wood-based panel	High Gloss Lacquer	81	20	34
elegance-extendable-dining-table	White, Grey/Silver	Fabric, Wood-based panel	High Gloss Lacquer	63/83	35.5	30
elegance-dining-chair	White, Grey/Silver	Fabric, Wood-based panel	High Gloss Lacquer	22	19	40
elegance-buffet-mirror	White, Grey/Silver	Fabric, Wood-based panel	High Gloss Lacquer	75	1	31
capri-china-cabinet	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	67	22	86
capri-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	81	42	31
capri-arm-chair	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	24	24	43
capri-side-chair	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	21	24	43
capri-curio-display-cabinet	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	39	20	72
capri-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	67	22	37
capri-buffet-mirror	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	45	2	42
1712-dining-table	Black, Brown/Wenge/Walnut	Wood veneer, Metal	Mat	71/87	39	30
1712-dining-chair	Black, Brown/Wenge/Walnut	Wood veneer, Metal	Mat	18	23	34
110-dining-table	White, Grey/Silver	Stainless Steel, Marble	Shiny	63	35	30
110-side-chair	White, Grey/Silver	Stainless Steel, Marble	Shiny	17	24	37
110-arm-chair	White, Grey/Silver	Stainless Steel, Marble	Shiny	22	23	36
2303-extendable-dining-table	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	39/51	39	30
3450-dining-chair	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	18	21	36
dama-bianca-side-chair	White	Fabric, Solid Wood, Glass	High Gloss Lacquer	19	24	42
dama-bianca-buffet-mirror	White	Fabric, Solid Wood, Glass	High Gloss Lacquer	63	2	32
dama-bianca-buffet-cabinet	White	Fabric, Solid Wood, Glass	High Gloss Lacquer	75	22	34
dama-bianca-extendable-dining-table	White	Fabric, Solid Wood, Glass	High Gloss Lacquer	79/97	41	30
dama-bianca-china-cabinet	White	Fabric, Solid Wood, Glass	High Gloss Lacquer	49	17	78
carmen-curio-display-cabinet	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	39	16	77
carmen-curio-display-cabinet	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63	16	81
carmen-china-cabinet	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	27	20	46
carmen-arm-chair	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63	16	36
carmen-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63/87	36	30
carmen-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	22	210	46
carmen-side-chair	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63	4	39
carmen-buffet-mirror	Brown/Wenge/Walnut	Fabric, Glass, MDF	High Gloss Lacquer, Mat	39	16	73
185-dining-chair	White, Brown/Wenge/Walnut	Fabric, Glass, Stainless Steel	Shiny	20	26.77	36.22/18.11
2061-dining-table	White, Brown/Wenge/Walnut	Fabric, Glass, Stainless Steel	Shiny	79	40	30
argentina-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Wood veneer, Glass, MDF	High Gloss Lacquer	55.12/80.71	33.46	29.92
argentina-dining-chair	Brown/Wenge/Walnut	Fabric, Wood veneer, Glass, MDF	High Gloss Lacquer	42.91	19.29	17.32
argentina-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Wood veneer, Glass, MDF	High Gloss Lacquer	70.87	18.5	36.61
argentina-mirror	Brown/Wenge/Walnut	Fabric, Wood veneer, Glass, MDF	High Gloss Lacquer	55.12	1.97	35.43
pamela-buffet-mirror	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer			
pamela-china-cabinet	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer	63	19	85
pamela-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer	63	19	32
pamela-arm-chair	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer	20	22	41
pamela-side-chair	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer	20	22	41
pamela-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Wood-based panel, Glass	High Gloss Lacquer	71/89	41	30
6138-side-chair	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	24	19	36
992-dining-table	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	74/99	40	30
elegance-dining-chair	Grey/Silver	Fabric, Wood-based panel	Mat	22	19	40
medea-extendable-dining-table	Brown/Wenge/Walnut	Eco Leather, Wood-based panel	High Gloss Lacquer	79/90.5/102	41	30
medea-side-chair	Brown/Wenge/Walnut	Eco Leather, Wood-based panel	High Gloss Lacquer	18	21.5	41.3
medea-buffet-mirror	Brown/Wenge/Walnut	Eco Leather, Wood-based panel	High Gloss Lacquer	57	0.8	31
medea-buffet-cabinet	Brown/Wenge/Walnut	Eco Leather, Wood-based panel	High Gloss Lacquer	80	20	32.5
medea-china-cabinet	Brown/Wenge/Walnut	Eco Leather, Wood-based panel	High Gloss Lacquer	42	18	75
lisa-china-cabinet	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	70	4	24
lisa-china-cabinet	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	41	5	21
lisa-tv-unit	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	19	22	40
lisa-dining-chair	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	71/89	41	30
lisa-dining-table	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	40	17	73
lisa-buffet-mirror	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	55	1	32
lisa-buffet-cabinet	White	Wood-based panel, Stainless Steel	High Gloss Lacquer	80	19	34
elite-tv-cabinet	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
elite-mirror	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
elite-buffet-cabinet	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
elite-china-cabinet	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
elite-china-cabinet	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
elite-tv-wall-panel	Special Order Colors, Light Beige	Special Order Materials	Special Order Finish			
185-dining-chair	White, Grey/Silver	Eco Leather, Fabric	N/A	20	26.77	36.22/18.11
carmen-buffet-mirror	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63	4	40
carmen-arm-chair	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	27	20	46
carmen-side-chair	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	22.44	20.47	46.06
carmen-buffet-cabinet	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63	16	36
carmen-curio-display-cabinet	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	39.37	15.75	76.77
carmen-extendable-dining-table	White	Fabric, Glass, MDF	High Gloss Lacquer, Mat	63/87	36	30
cordoba-dining-mirror	Black, White	Fabric, MDF	High Gloss Lacquer, Mat	55.12	1.97	35.43
cordoba-side-chair	Black, White	Fabric, MDF	High Gloss Lacquer, Mat	42.91	19.29	17.32
cordoba-buffet-cabinet	Black, White	Fabric, MDF	High Gloss Lacquer, Mat	70.87	18.5	36.61
cordoba-dining-table	Black, White	Fabric, MDF	High Gloss Lacquer, Mat	55/80.71	33.46	29.92
2109-extendable-dining-table	Black, White	Wood veneer, Glass, Metal	Mat, Shiny	50/78	28	30-Dec
3147-dining-chair	Black, White	Wood veneer, Glass, Metal	Mat, Shiny	19	17	33
roma-buffet-cabinet	Brown/Wenge/Walnut	Metal, MDF	High Gloss Lacquer	79	20.5	33.5
prestige-china-cabinet	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	65	19.3	78.4
prestige-china-cabinet	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	43	17	75
prestige-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	65	19.3	33.5
prestige-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	71/88.4	41	30
prestige-side-chair	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	18.5	20.5	44
prestige-buffet-mirror	Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer	63	2	32
elite-tv-wall-panel	Brown/Wenge/Walnut	Wood veneer, MDF	High Gloss Lacquer	35	9.5	53
elite-china-cabinet	Brown/Wenge/Walnut	Wood veneer, MDF	High Gloss Lacquer	29	17	78
elite-tv-cabinet	Brown/Wenge/Walnut	Wood veneer, MDF	High Gloss Lacquer	63	21	19
131-buffet-cabinet	Black, White, Grey/Silver	Fabric, Stainless Steel, Marble	Shiny	47	16	30
131-dining-chair	Black, White, Grey/Silver	Fabric, Stainless Steel, Marble	Shiny	22	23	33
131-dining-table	Black, White, Grey/Silver	Fabric, Stainless Steel, Marble	Shiny	79	39	30
leonardo-side-chair	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	23	22	42
leonardo-arm-chair	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	23	22	42
leonardo-buffet-cabinet	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	68.25	18	33.5
leonardo-china-cabinet	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	69	18	88
leonardo-extendable-dining-table	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	73/91	42	31
leonardo-big-mirror	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	58	3	42
leonardo-coffee-table	White, Yellow/Gold, Light Beige	Wood-based panel	High Gloss Lacquer	51	28	18
85-dining-chair	White	Fabric, Stainless Steel	N/A	18	19	37
zz-side-chair	White, Grey/Silver	Eco Leather, Stainless Steel	N/A	17	20	37
96-side-chair	Black, White	Eco Leather, Stainless Steel	N/A	18	19	37
volare-buffet-cabinet	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, Glass, MDF	High Gloss Lacquer	79	34	21
volare-china-cabinet	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, Glass, MDF	High Gloss Lacquer	43	19	76
volare-side-chair	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, Glass, MDF	High Gloss Lacquer			
volare-buffet-mirror	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, Glass, MDF	High Gloss Lacquer	52	1	34
volare-extendable-dining-table	Brown/Wenge/Walnut, Yellow/Gold	Wood veneer, Glass, MDF	High Gloss Lacquer	79/97	29	40.5
picasso-curio-display-cabinet	Brown/Wenge/Walnut, Grey/Silver, Light Beige	MDF	High Gloss Lacquer	41	18	75
picasso-buffet-cabinet	Brown/Wenge/Walnut, Grey/Silver, Light Beige	MDF	High Gloss Lacquer	65	18	32
picasso-dining-mirror	Brown/Wenge/Walnut, Grey/Silver, Light Beige	MDF	High Gloss Lacquer	41	1	43
picasso-extendable-dining-table	Brown/Wenge/Walnut, Grey/Silver, Light Beige	MDF	High Gloss Lacquer	71/89	41	30
picasso-side-chair	Brown/Wenge/Walnut, Grey/Silver, Light Beige	MDF	High Gloss Lacquer	19	16	42
1685-dining-chair	White, Brown/Wenge/Walnut	Fabric, MDF	N/A	19	24	36
iron-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Wood veneer, Wood-based panel	Mat	70.87/90.55/110.24	39.37	29.53
igni-dining-chair	Brown/Wenge/Walnut	Fabric, Wood veneer, Wood-based panel	Mat	20.47	23.23	40.55
seven-extendable-dining-table	Brown/Wenge/Walnut, Grey/Silver	Fabric, Metal, Special Order Materials	Mat	62.99/86.61	35.43	29.92
quatro-dining-chair	Brown/Wenge/Walnut, Grey/Silver	Fabric, Metal, Special Order Materials	Mat	17.32	21.65	38.19
kali-china-cabinet	Black, Grey/Silver, Light Beige	Wood-based panel, Metal	Mat	39	16.5	57
kali-buffet-cabinet	Black, Grey/Silver, Light Beige	Wood-based panel, Metal	Mat	59	19	31
kali-extendable-dining-table	Black, Grey/Silver, Light Beige	Wood-based panel, Metal	Mat	75/95/115	41	29.5
kali-side-chair	Black, Grey/Silver, Light Beige	Wood-based panel, Metal	Mat	18	18	38.5
prestige-tv-stand	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	64	19	18
prestige-tv-stand	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	27	17	75
prestige-vitrine	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	51	32	17
prestige-coffee-table-with-storage	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	82.5	19	18
prestige-vitrine	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	27	17	75
roma-buffet-cabinet	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	79	20.5	33.5
roma-dining-table	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	79/97	40.5	29.5
roma-dining-chair	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	20.5	18.5	20/41
roma-buffet-mirror	Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Glass, Stainless Steel	High Gloss Lacquer	47	1	36
onda-roma-mirror	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Metal	High Gloss Lacquer	47	1	36
roma-curio-display-cabinet	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Metal	High Gloss Lacquer	43.5	19	75
roma-buffet-cabinet	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Metal	High Gloss Lacquer	79	20.5	33.5
roma-dining-table	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Metal	High Gloss Lacquer	79/97	40.5	29.5
roma-dining-chair	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Metal	High Gloss Lacquer	20.5	18.5	20/41
365-dining-chair	Black, White	Eco Leather, Wood veneer, Glass, Special Order Materials	Shiny	17	23	42
365-dining-table	Black, White	Eco Leather, Wood veneer, Glass, Special Order Materials	Shiny	51.5/75	35	29.5
97-arm-chair	Black, White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Mat, Shiny	18	19	37
39-dining-table	Black, White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Mat, Shiny	51.5/75	35	29.5
131-buffet-cabinet	Black, White, Grey/Silver, Yellow/Gold	Fabric, Marble, MDF	Shiny	47	16	30
131-dining-chair	Black, White, Grey/Silver, Yellow/Gold	Fabric, Marble, MDF	Shiny	22	23	33
131-dining-table	Black, White, Grey/Silver, Yellow/Gold	Fabric, Marble, MDF	Shiny	79	39	30
dama-bianca-buffet-cabinet	White	Wood veneer, MDF	High Gloss Lacquer	75	22	34
capri-arm-chair	Brown/Wenge/Walnut	Fabric, MDF	High Gloss Lacquer	24	24	43
evolution-china-cabinet	Brown/Wenge/Walnut, Light Beige	Wood-based panel, Glass	Mat	23	17	73
