						
platinum-slim-extendable-dining-table	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	79/97	41	30
platinum-slim-chair	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	21	19	41
platinum-slim-buffet-cabinet	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	79	21	34
platinum-slim-mirror	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	47	1	36
platinum-slim-china-cabinet	Brown/Wenge/Walnut	Fabric, Solid Wood, Glass	High Gloss Lacquer	44	19	75
elite-buffet-cabinet	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer	74	22	34
elite-mirror	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer	63	2	31
elite-side-chair	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer	19	24	42
elite-china-cabinet	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer	49	17	78
elite-extendable-dining-table	Brown/Wenge/Walnut, Grey/Silver	Eco Leather, Solid Wood, Glass, MDF	High Gloss Lacquer	79/98/118	41	31
3450-dining-chair	White	Eco Leather, Glass, Stainless Steel, MDF	High Gloss Lacquer	18	21	36
2396-dining-table	White	Eco Leather, Glass, Stainless Steel, MDF	High Gloss Lacquer	47/63	31	30
mangano-china-cabinet	White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer	43.5	17.8	71
mangano-buffet-cabinet	White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer	68.5	17.8	33
mangano-side-chair	White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer	19	16	42
mangano-buffet-mirror	White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer	47.5	37.5	1
mangano-extendable-dining-table	White, Brown/Wenge/Walnut, Grey/Silver	Wood veneer, Wood-based panel	High Gloss Lacquer	69/87/105	41.35	30
6138-dining-chair	White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny	24	19	36
