"ID","Handle","Command","Title","Sort Order","Published","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Product: ID","Product: Handle","Product: Position"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195647438867","chloe-sofa","57"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195647569939","calvin-sofa","58"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195647864851","brendan-sofa","59"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195648192531","chase-sofa-bed","60"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195648290835","brent-sofa","61"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195648880659","alex-sofa","62"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195649110035","anthony-sofa","63"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195649568787","abraham-sofa","64"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195649634323","caleb-sofa","65"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195649896467","belinda-sofa","66"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195650060307","bridget-sofa","67"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195650322451","ava-sofa-bed","68"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195650813971","benjamin-sofa-1","69"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195651239955","aria-sofa","70"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195651698707","charles-sofa","71"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195653402643","arlene-sofa","72"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195653926931","cameron-sofa","73"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195654058003","adam-sofa","74"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195654385683","abbey-sofa","75"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195654746131","christian-sofa","76"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655041043","carla-sofa","77"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655303187","annie-sofa","78"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655401491","amelia-sofa","79"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655467027","aiden-sofa","80"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655565331","adrian-sofa","81"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655794707","connie-sofa","82"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655860243","angela-sofa-1","83"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195655958547","barbra-sofa","84"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195656024083","bella-sofa","85"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195658645523","alison-sofa","86"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","195658809363","christine-sofa-bed","87"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1296281174130","u1058-sofa","88"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1296816668786","bladen-sofa","89"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1312332284018","august-sofa","90"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1312333070450","benson-sofa","91"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1344629637210","sofa-85","92"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1344632127578","abildgaard-sofa","93"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1344666894426","colton","94"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1563778842714","corvo-sofa","95"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1569299759194","braemar-sofa","96"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1569302052954","claremorris-sofa","97"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1619437158490","berkeley-sofa","98"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1625603309658","curtis-sofa","99"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1816610242650","cardallo-sofa","100"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1816617517146","burgus-sofa","101"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1818423656538","bannar-sofa","102"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1818428932186","banissa-sofa","103"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1845038350426","betri-sofa","104"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1867581653082","azaline-sofa","105"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1934361821274","chaltemham-slipcover-xl-sofa","106"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","1935152185434","almanza-sofa","107"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","3959972560986","blanche-sofa","108"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","4161622736986","artemis-sofa","109"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","4167877230682","alasdair-light-brown-sofa","110"
"160243318874","standard-sofas","UPDATE","Standard Sofas","Manual","true","","","","","4167892467802","avonlea-sofa","111"
