KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
AG-330 69	agra-rug	Rug	n/a	Blksnd	Wool	Knotted	6'	9'	0.5	49	n/a	970	http://kalaty.com/productimages/large/AG-330 NP.jpg	n/a
AG-330 810	agra-rug	Rug	n/a	Blksnd	Wool	Knotted	8'	10'	0.5	72	n/a	1440	http://kalaty.com/productimages/large/AG-330 NP.jpg	n/a
AG-330 912	agra-rug	Rug	n/a	Blksnd	Wool	Knotted	9'	12'	0.5	97	n/a	1940	http://kalaty.com/productimages/large/AG-330 NP.jpg	n/a
AG-331 46	agra-rug	Rug	n/a	Sndblk	Wool	Knotted	4'	6'	0.5	22	n/a	430	http://kalaty.com/productimages/large/AG-331 NP.jpg	n/a
AG-331 69	agra-rug	Rug	n/a	Sndblk	Wool	Knotted	6'	9'	0.5	49	n/a	970	http://kalaty.com/productimages/large/AG-331 NP.jpg	n/a
AG-333 69	agra-rug	Rug	n/a	Ivyivy	Wool	Knotted	6'	9'	0.5	49	n/a	970	http://kalaty.com/productimages/large/AG-333 NP.jpg	n/a
AG-344 810	agra-rug	Rug	n/a	Ivyiv	Wool	Knotted	8'	10'	0.5	72	n/a	1440	http://kalaty.com/productimages/large/AG-344 NP.jpg	n/a
