Package Width,Package Depth,Package Height
25.5,18,18
26,18,50
60,17,37
48,17,37
50,20,70
36,19,54
65,19,34
42,1,40
26,19,24
24.8,16.54,41.34
62.2,16.54,31.89
47.24,16.54,31.89
47.24,1.57,23.62
24.8,16.54,31.78
24.8,16.54,31.78
22.83,18.5,46.06
58.27,19.49,32.91
46.46,19.21,36.61
39.37,0.79,39.37
22.83,18.5,17.36
30,1.57,76.46
35.98,23.7,82.68
25,17,44
59,17,35
48,17,35
48,2,24
25,17,18
39,24,67
76,80,9
59,80,9
54,80,9
39,80,9
44,18,35
24,16,23
25,17,49
67,20,32
39,0.8,38.5
25,17,23
28.74,20.47,53.54
57.48,26.38,35.43
44.88,1.57,34.25
27.95,19.69,25.59
84.64,19.69,33.46
57.48,1.57,36.61
108.27,27.95,99.21
84.65,27.95,88.98
34,21.5,83
44,18,35
42,1,28
24,16,23
26,17,50
67,19,31
47,7,39
26,17,21
51,22,36
30,17,46
68,19,31
53,19,31
47,2,36
30,17,21
73,24,90
68,19,31
53,19,31
47,2,36
30,17,21
73,24,90
30,17,21
60,18,30
40,18,30
43,1,28
20,15,18
71,22,83
23,17,17.5
36,18,54
60,18,34
37,1,41
26,18,24
32,21.5,70
68,20,30
30,17,46
68,20,30
54,20,30
48,1,36
30,17,20
74,24,90
48,1,36
32,18.5,22.5
74,24,90
36,16,52
68,19,33
45.6,2,40.15
27,16,22
24,4.5,22
48,21,27
127.2,23.6,90.6
106.3,23.6,90.6
85,23.6,90.6
64.2,23.6,90.6
42.9,23.6,90.6
36,16,52
68,19,33
45.6,2,40.15
27,16,22
59,19,30
44,20,31
39,1,32
39,39,2
23.5,16,20
22.83,18.5,46.06
22.83,18.5,46.06
58.27,19.49,32.91
46.46,19.21,36.61
30,1.57,76.46
39.37,0.91,39.37
22.83,18.5,15.59
35.98,23.7,82.67
46.46,19.21,36.61
58.27,19.49,32.91
30,1.57,76.46
39.37,0.91,39.37
22.44,18.5,15.59
25,17,45
63,17,27
48,17,36
48,2,24
25,17,14
39,24,67
23,17,44
54,20,31
51,1,32
23,17,18
65.5,19,31
48,1,36
23,17,18
25,16,52
59,19,32
,,
37.5,0.78,40
25,16,22
,,
,,
,,
,,
,,
23.62,15.75,48.82
62.99,15.75,37.01
47.24,15.75,40.94
59.06,1.97,27.56
