"ID","Handle","Command","Title","Body HTML","Vendor","Type","Tags","Tags Command","Created At","Updated At","Published","Published At","Published Scope","Template Suffix","URL","Row #","Top Row","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Position","Variant SKU","Variant Barcode","Variant Image","Variant Weight","Variant Weight Unit","Variant Price","Variant Compare At Price","Variant Cost","Variant Taxable","Variant Tax Code","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Inventory Qty","Variant Inventory Adjust"
"9127431879","alden-power-reclining-living-room-set","UPDATE","Alden Power Reclining Living Room Set","<p>Relax in style with the Alden Power Collection.  Featuring supple gray leather seating, contrast accent stitching, and contemporary style that makes this collection look as good as it feels. The set includes Reclining Sofa, Reclining Console Loveseat, and Reclining Chair</p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa- 90"" W x 40"" D x 40"" H</p>
<p>Loveseat - 81"" W x 40"" D x 40"" H</p>
<p>Recliner - 39"" W x 40"" D x 41"" H</p>","Mstar","living room sets","Barbra08-19, Black_2017, Black_Friday_2018, color-gray, Columbus_2017_1, CURRENT_SALE, Exclusive_Neha_10, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, Memorial_2018, MLK, motion, NY, over-2000, President_day, style-contemporary, Summer_2017, TAX, under-2000, width-85-95","REPLACE","2016-09-23T19:59:11-04:00","2020-02-13T10:44:00-05:00","true","2016-11-14T07:38:00-05:00","global","","https://www.jenniferfurniture.com/products/alden-power-reclining-living-room-set","1","true","24055116423","34595430727","MERGE","Configuration","Sofa + Loveseat","","","","","1","M1672-6P+M1672-5P","","","2.0","g","1999.99","2399.99","","true","","","deny","manual","true","",""
"9127431879","alden-power-reclining-living-room-set","UPDATE","Alden Power Reclining Living Room Set","","Mstar","living room sets","Barbra08-19, Black_2017, Black_Friday_2018, color-gray, Columbus_2017_1, CURRENT_SALE, Exclusive_Neha_10, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, Memorial_2018, MLK, motion, NY, over-2000, President_day, style-contemporary, Summer_2017, TAX, under-2000, width-85-95","REPLACE","2016-09-23T19:59:11-04:00","2020-02-13T10:44:00-05:00","true","2016-11-14T07:38:00-05:00","global","","https://www.jenniferfurniture.com/products/alden-power-reclining-living-room-set","2","","24055116487","34595430791","MERGE","Configuration","Sofa + Loveseat + Recliner","","","","","2","M1672-6P+M1672-5P+M1672-9P","","","3.0","g","2599.99","3199.99","","true","","","deny","manual","true","",""
"11602631251","terrence-power-reclining-sofa-loveseat-and-recliner","UPDATE","Terrence Power Reclining Living Room Set","<p>Modern style with the old-fashioned comfort you expect from reclining furniture! Beige leather-match.<br></p>
<p> </p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa -86"" W x 38"" D x 49"" H</p>
<p><span>Loveseat  -76"" W x 38"" D x 49"" H</span></p>
<p><span>Chair 39"" W x 38"" D x 39"" H</span></p>","Mstar","living room sets","Black_2017, clearance, color-beige, Columbus_2017_1, Columbus_2018, console, Exclusive_Neha_10, export-1, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, motion, NEW, over-2000, President_day, style-contemporary, SUMMER_CL_2018, width-85-95","REPLACE","2017-07-08T14:25:48-04:00","2020-02-13T05:13:26-05:00","true","2018-04-20T11:57:22-04:00","global","","https://www.jenniferfurniture.com/products/terrence-power-reclining-sofa-loveseat-and-recliner","3","true","30706803081306","29569974075482","MERGE","Configuration","Sofa + Loveseat","","","","","1","MNY2156-6P + MNY2156-2P","","","3.0","g","1999.99","3199.99","","true","","","deny","manual","true","",""
"11602631251","terrence-power-reclining-sofa-loveseat-and-recliner","UPDATE","Terrence Power Reclining Living Room Set","","Mstar","living room sets","Black_2017, clearance, color-beige, Columbus_2017_1, Columbus_2018, console, Exclusive_Neha_10, export-1, feature-power, Holiday_1, Jan_14_2019, July_2017, material-leather-match, motion, NEW, over-2000, President_day, style-contemporary, SUMMER_CL_2018, width-85-95","REPLACE","2017-07-08T14:25:48-04:00","2020-02-13T05:13:26-05:00","true","2018-04-20T11:57:22-04:00","global","","https://www.jenniferfurniture.com/products/terrence-power-reclining-sofa-loveseat-and-recliner","4","","16722065883226","16461147963482","MERGE","Configuration","Sofa + Loveseat + Recliner","","","","","2","MNY2156-6P + MNY2156-2P + MNY2156-9P","","","3.0","g","2599.99","3199.99","","true","","","deny","manual","true","",""
"1618141479002","ford-power-reclining-living-room-set","UPDATE","Ford Power Reclining Living Room Set","<p>SOFA + LOVESEAT + FREE RECLINER</p>
<p>Rich gray upholstery with visible stitches, this contemporary Ford Power Reclining Collection is truly a beauty. </p>
<p>With Power Headrest</p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa- 90"" W x 38"" D x 39.5"" H</p>
<p>Loveseat - 79"" W x 38"" D x 39.5"" H</p>
<p>Recliner - 39.5"" W x 38"" D x 39.5"" H</p>
<p>KD Feature: This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</p>","Mstar","living room sets-sale","color-gray, Exclusive_Neha_10, feature-adjustable headrests, feature-power, Jan_14_2019, material-fabric, Memorial2019, motion, over-2000, sale-presidents day-2020, style-contemporary, Summer_2017, TAX, under-2000","REPLACE","2019-01-08T12:30:19-05:00","2020-02-12T17:13:14-05:00","true","2016-11-14T07:38:00-05:00","global","","https://www.jenniferfurniture.com/products/ford-power-reclining-living-room-set","5","true","17621181366362","17246919524442","MERGE","Configuration","Sofa + Loveseat + FREE Recliner","","","","","1","MNY2733-2P  + MNY2733-6P + Recliner","","","3.0","g","1999.99","4799.99","","true","","","deny","manual","true","",""
"1625845039194","gillroy-living-room-set","UPDATE","Gilroy Living Room Set","<p><span>The Gillroy Living Room Collection offers classic style with a modern twist. Warm brown leather-look fabric &amp; nail head accents make Gillroy the perfect choice for your home! </span></p>
<p><strong>DIMENSIONS</strong></p>
<p>Sofa -90""W x 38""D x 39""H</p>
<p>Loveseat -68""W x 38""D x 39""H</p>
<p>Chair-45""W x 38""D x 39""H</p>
<p>Ottoman - 28""W x 22""D x 20""H</p>
<meta charset=""utf-8"">
<p><strong>*KD Feature:</strong><span> This model is able to be partially assembled in home for easier access into the room you want!  If you have any questions on this, just ask us!</span></p>","USGLO","living room sets","Barbra07-19, clearance, color-brown, Exclusive_Neha_10, july2019, material-microfiber, NJ_Warehouse, President_Sale_2019, style-classic, under-1000, under-2000, width-85-95","REPLACE","2019-01-21T13:27:26-05:00","2020-02-13T04:50:39-05:00","true","2019-01-20T23:56:47-05:00","global","","https://www.jenniferfurniture.com/products/gillroy-living-room-set","6","true","16153890062426","15969226752090","MERGE","Configuration","Sofa + Loveseat","","","","","1","C30-15 +C30-65","","","2.0","g","999.99","1499.99","","true","","","deny","manual","true","",""
"1625845039194","gillroy-living-room-set","UPDATE","Gilroy Living Room Set","","USGLO","living room sets","Barbra07-19, clearance, color-brown, Exclusive_Neha_10, july2019, material-microfiber, NJ_Warehouse, President_Sale_2019, style-classic, under-1000, under-2000, width-85-95","REPLACE","2019-01-21T13:27:26-05:00","2020-02-13T04:50:39-05:00","true","2019-01-20T23:56:47-05:00","global","","https://www.jenniferfurniture.com/products/gillroy-living-room-set","7","","30706824675418","29569993113690","MERGE","Configuration","Sofa + Loveseat + Chair","","","","","2","C30-00 _C30-15 +C30-65","","","2.0","g","1299.99","1499.99","","true","","","deny","manual","true","",""
"1625845039194","gillroy-living-room-set","UPDATE","Gilroy Living Room Set","","USGLO","living room sets","Barbra07-19, clearance, color-brown, Exclusive_Neha_10, july2019, material-microfiber, NJ_Warehouse, President_Sale_2019, style-classic, under-1000, under-2000, width-85-95","REPLACE","2019-01-21T13:27:26-05:00","2020-02-13T04:50:39-05:00","true","2019-01-20T23:56:47-05:00","global","","https://www.jenniferfurniture.com/products/gillroy-living-room-set","8","","16153891766362","15969227178074","MERGE","Configuration","Sofa +Loveseat + Chair +Ottoman","","","","","3","C30-00 _C30-15 +C30-65 +C30-01","","","4.0","g","1499.99","2499.99","","true","","","deny","manual","true","",""
