SKU	Handle	Title	Intro	Colors	Material	Finish	W	D	H	Weight	Features	Base Price	Image Link	Barcode
AD-620 1014	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	114	156	0.25	40	Double-Sided, Soft Cotton Chenile Yarn	340	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 23	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	24	36	0.25	3	Double-Sided, Soft Cotton Chenile Yarn	15	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 2610	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	30	120	0.25	10	Double-Sided, Soft Cotton Chenile Yarn	60	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 46	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	42	66	0.25	9	Double-Sided, Soft Cotton Chenile Yarn	45	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 69	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	66	102	0.25	19	Double-Sided, Soft Cotton Chenile Yarn	110	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 810	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	90	114	0.25	26	Double-Sided, Soft Cotton Chenile Yarn	170	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-620 912	andes-rug	Andes Rug	n/a	Canyon Turquoise	Cotton Chenille	Lori-Loom Weave	102	138	0.25	29	Double-Sided, Soft Cotton Chenile Yarn	230	http://kalaty.com/productimages/large/AD-620-rectangle.jpg	n/a
AD-621 1014	andes-rug	Andes Rug	n/a	Canyon Granite	Cotton Chenille	Lori-Loom Weave	114	156	0.25	40	Double-Sided, Soft Cotton Chenile Yarn	340	http://kalaty.com/productimages/large/AD-621-rectangle.jpg	n/a
AD-621 23	andes-rug	Andes Rug	n/a	Canyon Granite	Cotton Chenille	Lori-Loom Weave	24	36	0.25	3	Double-Sided, Soft Cotton Chenile Yarn	15	http://kalaty.com/productimages/large/AD-621-rectangle.jpg	n/a
