Variant SKU	Handle	Title	Intro	Color	Material	Finish	Width	Depth	Height	Weight	Features	Base Price	Image	Barcode
700810876-1060	beautyrest-black-hybrid-mattress	X CLASS HYBRID ULTRA PLUSH, King	n/a	n/a	n/a	n/a	78	81	15	n/a	n/a	n/a	n/a	889152513459
700810876-1050	beautyrest-black-hybrid-mattress	X CLASS HYBRID ULTRA PLUSH, Queen	n/a	n/a	n/a	n/a	61	81	15	n/a	n/a	n/a	n/a	889152513442
700810876-1030	beautyrest-black-hybrid-mattress	X CLASS HYBRID ULTRA PLUSH, Full	n/a	n/a	n/a	n/a	55	76	15	n/a	n/a	n/a	n/a	889152513435
700810876-1020	beautyrest-black-hybrid-mattress	X CLASS HYBRID ULTRA PLUSH, Twin XL	n/a	n/a	n/a	n/a	40	81	15	n/a	n/a	n/a	n/a	889152513428
700810873-1060	beautyrest-black-hybrid-mattress	X CLASS HYBRID MED, King	n/a	n/a	n/a	n/a	78	81	13.5	n/a	n/a	n/a	n/a	889152513596
700810873-1050	beautyrest-black-hybrid-mattress	X CLASS HYBRID MED, Queen	n/a	n/a	n/a	n/a	61	81	13.5	n/a	n/a	n/a	n/a	889152513589
700810873-1030	beautyrest-black-hybrid-mattress	X CLASS HYBRID MED, Full	n/a	n/a	n/a	n/a	55	76	13.5	n/a	n/a	n/a	n/a	889152513572
700810873-1020	beautyrest-black-hybrid-mattress	X CLASS HYBRID MED, Twin XL	n/a	n/a	n/a	n/a	40	81	13.5	n/a	n/a	n/a	n/a	889152513565
