Given SKU	Given Description	Chosen Collection Name	Computed Handle
503966	SOFA BED	capriana	capriana-sofa-bed
102672	Dining Chair	caroline	
601711	MOTION SOFA	cassandra	
601712	GLIDER LOVESEAT W/ CONSOLE	catiana	
102671	dining table	celine	
