"ID","Handle","Command","Title","Vendor","Type","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644502855","36208218375","MERGE","Material","Microfiber","Color","White","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503047","36208218439","MERGE","Material","Microfiber","Color","Cream","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503111","36208218503","MERGE","Material","Microfiber","Color","Gray","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503175","36208218567","MERGE","Material","Microfiber","Color","Brown","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503239","36208218631","MERGE","Material","Microfiber","Color","Red","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503367","36208218695","MERGE","Material","Microfiber","Color","Blue","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503431","36208218759","MERGE","Material","Microfiber","Color","Black","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503495","36208218823","MERGE","Material","Cotton","Color","White","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503559","36208218887","MERGE","Material","Cotton","Color","Cream","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503623","36208219015","MERGE","Material","Cotton","Color","Gray","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503687","36208219079","MERGE","Material","Cotton","Color","Brown","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503751","36208219143","MERGE","Material","Cotton","Color","Red","Sleeper","No Sleeper"
"5826442887","tilly-loveseat","UPDATE","Tilly Loveseat","Klaussner","loveseats-sale","25644503815","36208219207","MERGE","Material","Cotton","Color","Blue","Sleeper","No Sleeper"
