acme.name	acme.sku	acme.product_weight	acme.product_length	acme.product_width	acme.product_height	acme.package_length	acme.package_width	acme.package_height	acme.package_weight	acme.ship_type	acme.package_type	acme.collection_name	acme.catalog	acme.product_type	acme.description	acme.short_description	acme.catalog_finish	acme.material_detail	acme.fl_qty	acme.ga_qty	acme.nj_qty	acme.ny_qty	acme.tx_qty	acme.la_qty	acme.sf_qty	acme.MSRP	acme.ETA_LA_warehouse	acme.group	acme.video
Glynn Floor Lamp	40205	10		0		51	21	5	10	GROUND	ISTA-3A	Glynn	2019C	Floor Lamp	KD, Floor Lamp Features: Tri-Pod Lamp with Adjustable Height Light Bulb Required Type: E26 100W Type A or 23W CFL x 1Pc (NOT Included) Switch Type: 3-Way Rotary on Lamp Base Drum Shade: White Fabric Tri-pod Metal Base: Black Matte Finish	Create a perfect scene for an urban design with this contemporary Glynn floor lamp. Functional and modern, this lamp is featuring a metal tripod base with adjustable height. Complete with a drum shade and 3-way rotary switch, this piece will sure to make your friends envy when they come over to visit.	White & Black	Metal, Shade	0	1	0	0	0	0	1	270	NONE		
Hollywood Floor Lamp	40209	7	1	1	55	46	11	11	11	GROUND	ISTA-3A	Hollywood	2019C	Floor Lamp	KD, Floor Lamp Features: Tri-Pod Spotlight Light with Adjustable Height Light Bulb Required Type: E26 40W x 1Pc (NOT Included) Switch Type: Step On-Off Spotlight Top: Chrome Finish, Metal Tri-pod Wood Base: Antique Oak Finish w/Chrome Metal Connectors	Lights, camera, action! It's time to take vintage Hollywood style into your home with this lovely tripod floor lamp. Inspired by movie spotlights, it showcases a cylindrical shade on an adjustable holder. The tripod base keeps your lamp secure in style and the antique oak and chrome finish give this lamp a classic look. Beautifully crafted, this piece will sure to be a great addition to your room.	#N/A	Metal, Wood	0	0	0	0	0	0	0	240	NONE		
Bage Accent Table	83959	7	17	17	24	27	21	5	10	LTL	ISTA-3A	Bage	2019S	Accent Table	Round Side Table NO Storage Features: Marble Top, Metal "X" Shape Base (Open Base) CONSTRUCTION TOP) Marble: Top Size: 5mm Thick (NO Apron) BASE) Metal "X" Shape: Black Finish, Metal Tube	<span>	Glass & Black Nickel	Metal, Glass	0	0	0	0	1	0	1	177	NONE		
Baylee Table Lamp (2Pc)	40056	8	13	14	25	23	14	21	13	GROUND	CARTON	Baylee	2013C	Table Lamp	Table Lamp (Set-2) Light Bulb NOT Included Light Bulb Required: Wattage Type A100w or CFL 23w Socket Type: E27 Phenolic Turned Base: Espresso Finish, Poly Resin Shade: Drum Shape, 12.5 x 14 x 10.5"H	<span>	Gold Shade, Espresso	Poly Resin	0	0	0	0	0	0	2	135	NONE		
Libe Table Lamp	40207	8	13	8	25	23	18	10	11	GROUND	ISTA-3A	Libe	2019C	Table Lamp	KD, Table Lamp Light Bulb Required Type: E26 100W x 1Pc (NOT Included) Switch Type: On/Off on Lamp Base Drum Shade: White Fabric Rectangular Base: Satin Gold Finish	An even mix of coastal and contemporary elements, this Libe table lamp brings a splash of on-trend style to any arrangement in your home. This luminaire features a white rectangular shade, providing a fresh taste to the entire aesthetic. Available with two different color options: satin gold or brush steel, this charming piece will sure to refresh your room and add a bright light to your space.	White & Satin Gold	Metal, Shade	0	0	0	0	0	0	1	237	NONE		
Libe Table Lamp	40208	8	13	8	25	23	17	9	10	GROUND	ISTA-3A	Libe	2019C	Table Lamp	KD, Table Lamp Light Bulb Required Type: E26 100W x 1Pc (NOT Included) Switch Type: On/Off on Lamp Base Drum Shade: White Fabric Rectangular Base: Brushed Silver Finish	An even mix of coastal and contemporary elements, this Libe table lamp brings a splash of on-trend style to any arrangement in your home. This luminaire features a white rectangular shade, providing a fresh taste to the entire aesthetic. Available with two different color options: satin gold or brush steel, this charming piece will sure to refresh your room and add a bright light to your space.	White & Brushed Nickel Finish	Metal, Shade	0	0	0	0	0	3	3	237	NONE		
Senon Chair	37277	9	17	19	26	18	19	4	12	GROUND	CARTON	Senon	2014C	Chair	KD, Armless Chair Padded Seat: Black PU Cushion Metal Backrest & Leg: Sandy Black (Metal Tube)	The Senon chair offers simple design with a versatility that enhances any office area. This lovely chair features durable metal frame with upholstered seat cushion in black bycast leather.	Black Finish	Metal, Upholstered (Seat), Composite Wood	3	0	0	2	3	48	0	129	NONE	GP-000694	
Jared Table Lamp (2Pc)	40070	9	15	15	30	24	16	25	16	GROUND	CARTON	Jared	2014S	Table Lamp	Table Lamp (Set-2) Light Bulb NOT Included Light Bulb Required: Wattage Type A100w or CFL 23w Socket Type: E27 Phenolic Base: Espresso Finish, Metal Shade: Drum Shape, White Finish	Add abstract design with this contemporary inspired Jared table lamp to your nightstand. This lamp features a metal curved base with an antique bronze finish, topped with a drum shaped shade creating a work of art as well as a functioning light source.	Antique Bronze Finish	Metal	0	1	0	0	0	5	3	348	NONE		
Ovesen Table Lamp	40157	9	15	15	31	27	24	12	15	GROUND	ISTA-3A	Ovesen	2019C	Table Lamp	KD, Table Lamp Features: LED Light, Night Light function, Glass Cylinder with Motion Glitter Light Bulb Required Type: E26-LED 9W x 1Pc, and E17-R 25W x 1Pc (Included) Switch Type: Rotary Socket on Lamp Base (Top) Drum Shade: White Fabric (Terylene Cotton) Metal & Cylinder Base: Brushed Nickel Finish, Metal & Glass Cylinder w/Glitter Light Wall Plug: Polarized 2-Prong Plug, Cord Length: 1.6mts Clear Glass Cylinder includes glitter suspended in liquid that swirls reflecting vibrant light.	Illuminate your space in style with this Ovesen lighting collection, a must-have that will add an elegant feel to any room. Featuring a brushed nickel metal base, the construction is sturdy yet stylish. Within the glass tube, there are sequins and water; and the sequins will be flowing once the light is turned on. Unique, beautiful and chic, this lighting collection will add an artful touch and be the centerpiece in any room.	Brushed Nickel	Metal, Glass, LED, Shade	0	0	0	0	0	0	1	351	NONE		
Nowles Accent Candleholder (2Pc)	97623	9	4	4	13	14	13	17	9	GROUND	CARTON	Nowles	2020C	Accent Candleholder	Candleholder Features: Beveled Mirrored Finish w/Faux Diamonds Inlay, 4mm Clear Tempered Glass Frame: Mirror, Glass, MDF, Acrylic Inlay Q&A] Candle NOT Included	With a modern silhouette and mirrored finish, this Nowles candleholder collection adds instant warmth and ambiance. Crafted with a mirrored frame and faux gem inlay, it creates an elegant look and a soothing atmosphere for your guests. Available in two different sizes, this piece will create a unique and nostalgic effect on the environment.	Mirrored, Faux Diamonds	Mirror, Glass, Faux Crystals, Composite Wood	36	4	2	17	0	104	0	243	NONE	GP-001047	
Muscari Accent Chair	96096	10	19	23	33	23	20	16	15	GROUND	ISTA-3A	Muscari	2020C	Accent Chair	KD, Armless Chair (High Backrest) NO Storage (Open Base) Stationary Seat: Standard Dining Padded Seat & Back CONSTRUCTION Seat & Backrest: Black & White PU Finish Metal Sled Base: Black Finish (NO Casters)	<span>	Black/White PU & Black	Metal, Upholstered (Seat)	0	0	0	0	0	0	2	129	NONE		
Osaka Table Lamp (2Pc)	03880A	10	9	9	24	17	9	26	13	GROUND	CARTON	Osaka	2007C	Table Lamp	Table Lamp (Set-2) Japanese Design Light Bulb NOT Included Light Bulb Required: Wattage Type A 40w or CFL 13w Socket Type: E27 Phenolic Base/Shade: Metal & Fabric	This table lamp makes a perfect addition to any home. This handsomely made 24-inch lamp complements many decor styles and can be placed in a living room or next to a seating arrangement. Uses Type A 40w or CFL 13w, Socket Type E27 Phenolic, Lightbulb Not Included.	Black Finish	Metal	0	2	1	0	0	0	0	135	NONE		
Boffa Wall Clock	97405	10	20	3	20	23	23	6	12	GROUND	ISTA-6A	Boffa	2020C	Wall Clock	Round Wall Clock Mirror with Beveled Edge (Geometric Pattern) Dial Numeral Type: Roman Numerals Quartz Mechanism Battery NOT Included (1Pc of AA 1.5V) Back: Black Finish (NO Sound/Chime)	Time to shine with the Boffa mirrored wall clock. This clock features a circular floating crystal balls and beveled mirror frame. The clock face has a clean, modern look featuring roman numerals. Its casual yet elegant look will become the most stunning decoration of any place.	Mirrored & Geometric Pattern Trim	Clock, Mirror, Composite Wood	3	0	8	21	2	199	2	204	NONE		
Nowles Accent Candleholder (2Pc)	97624	10	4	4	16	14	13	19	11	GROUND	CARTON	Nowles	2020C	Accent Candleholder	Candleholder Features: Beveled Mirrored Finish w/Faux Stones Inlay, 4mm Clear Tempered Glass Frame: Mirror, Glass, MDF, Acrylic Inlay Q&A] Candle NOT Included	With a modern silhouette and mirrored finish, this Nowles candleholder collection adds instant warmth and ambiance. Crafted with a mirrored frame and faux gem inlay, it creates an elegant look and a soothing atmosphere for your guests. Available in two different sizes, this piece will create a unique and nostalgic effect on the environment.	Mirrored, Faux Diamonds	Mirror, Glass, Faux Crystals, Composite Wood	0	0	4	18	0	7	0	273	NONE	GP-001047	
Maverick Vanity Stool	91803	1	20	17	18	22	20	9	13	GROUND	CARTON	Maverick	2019S	Vanity Stool	KD, Rectangular Armless Stool (Backless) Stationary Seat Padded SEAT: Fabric Cushion w/Welt Trim (Solid Pattern) BACKLESS Wooden Apron Seat Wooden Turned Legs Armless	<span>	Fabric & Platinum Finish	Wood, Upholstered (Seat), Sparkling Rhinestones, Composite Wood	0	0	2	0	2	13	2	255	NONE	GP-000538	
Claus Table Lamp	40160	11	8	8	29	26	11	11	13	GROUND	ISTA-3A	Claus	2019C	Table Lamp	KD, Table Lamp Features: LED Light, Night Light function, 3 Glass Cylinder with Motion Glitter Light Bulb Required Type: E17-R 25W x 3Pc (Included) Switch Type: ON/Off Button on Power Cable () Shade: NOT Included Metal & Cylinder Base: Brushed Nickel Finish, Metal & Glass Cylinder w/Glitter Light Wall Plug: Polarized 2-Prong Plug, Cord Length: 1.6mts Clear Glass Cylinder includes glitter suspended in liquid that swirls reflecting vibrant light.	Illuminate your space in style with this Claus lighting collection, a must-have that will add an elegant feel to any room. Featuring a brushed nickel metal base, the construction is sturdy yet stylish. Within the glass tube, there are sequins and water; and the sequins will be flowing once the light is turned on. Unique, beautiful and chic, this lighting collection will add an artful touch and be the centerpiece in any room.	Brushed Nickel	Metal, Glass, LED	0	0	0	0	0	0	1	336	NONE		
Darby End Table	81107	11	20	20	22	25	24	6	15	GROUND	ISTA-3A	Darby	2019C	End Table	KD, Round End Table Storage: Open Compartment (Wooden Bottom Shelf) CONSTRUCTION Glass Top: 5mm Clear Tempered Glass (Metal Hardware Attached) Wood Round Shelf: Wood Veneer (Oak), PB Wood "V" Shape Leg: Bentwood	Entertain in style with the Darby End Table. This classic round occasional table features a dark walnut frame with a clear tempered glass top. This distinctive wood and glass cocktail table feature a unique V' shaped legs with an open lower shelf for storage and display. This stylish accent table has a captivating look that makes it an eye-catching piece in any room. Use it to add a touch of contemporary flair to a traditional space or to simply complete a modern aesthetic.	Clear Glass & Dark Walnut Finish	Wood, Glass, Veneer (Wood), Composite Wood	0	0	0	1	0	1	0	180	NONE		
Sytira End Table	83952	11	22	22	22	27	26	4	16	GROUND	ISTA-3A	Sytira	2019S	End Table	KD, Drum End Table NO Storage Features: Wooden Top, Drum Shape, Metal Frame (Open Base) CONSTRUCTION TOP) Wooden Round Shape: Espresso Finish, Paper Veneer, PB, Top Size: 15mm Thick (NO Apron) BASE) Metal Frame: Black Finish, Metal Tube, Drum Shape w/"Y" Open Pattern	<span>	Espresso & Black Finish	Metal, Wood	0	0	1	2	1	66	0	249	NONE	GP-000281	
Bage End Table	83957	11	24	24	21	29	28	5	16	GROUND	ISTA-3A	Bage	2019S	End Table	Round End Table NO Storage Features: Marble Top, Metal "X" Shape Base (Open Base) CONSTRUCTION TOP) Marble: Top Size: 5mm Thick (NO Apron) BASE) Metal "X" Shape: Black Finish, Metal Tube	<span>	Glass & Black Nickel Finish	Metal, Glass	0	0	0	0	0	0	0	207	NONE	GP-001100	
Mhina Wall Clock	97397	11	20	2	20	23	23	5	13	GROUND	ISTA-6A	Mhina	2020C	Wall Clock	Square Wall Clock Mirror Trim with Beveled Edge Dial Numeral Type: Roman Numerals Quartz Mechanism Battery NOT Included (1Pc of AA 1.5V) Back: Black Finish (NO Sound/Chime)	The Mhina mirrored wall clock is sure to be a focal point of any room. This stylish wall clock features a thin square mirror frame blended with a thin diamond frame around the face. The clock face has a clean, modern look featuring roman numerals.	Mirrored	Clock, Mirror, Composite Wood	0	0	0	0	0	0	2	183	NONE		
Nowles Accent Candleholder (2Pc)	97618	11	5	5	13	17	15	9	14	GROUND	CARTON	Nowles	2020C	Accent Candleholder	Candleholder Features: Beveled Mirrored Finish w/Faux Stones Inlay, 4mm Clear Tempered Glass Frame: Mirror, Glass, MDF, Acrylic Inlay Q&A] Candle NOT Included	Strut your style with this beautiful and elegant Nowles candleholder collection. With a beautifully crafted mirrored frame and faux gem inlay, it is sure to compliment any arrangement. Available in two different sizes, light it up and be dazzled by the glamour of this piece.	Mirrored, Faux Diamonds	Mirror, Glass, Faux Crystals, Composite Wood	21	4	0	39	9	91	1	246	NONE	GP-001046	
Keira Table Lamp (2Pc)	40077	12	17	17	30	19	19	25	19	GROUND	CARTON	Keira	2014S	Table Lamp	Table Lamp (Set-2) With Power Outlet and Rocker ON/OFF Switch Light Bulb NOT Included Light Bulb Required: Wattage Type A100w or CFL 23w Socket Type: E27 Phenolic Base: Espresso & Silver Finish, Metal Shade: Drum Shape	The Keira table lamp is the perfect addition to any room. This lamps base is made of steel with a matte finish, perfectly topped with an espresso drum shaped shade. This contemporary lighting addition is suitable for any room in your home, and with the convenient outlet on the table base you can charge your phone or tablet while reading at the end of the day. Easy access with on & off switch on table base.	Cappuccino	Metal	0	0	0	0	0	0	2	156	NONE		
