acme.name	acme.sku	acme.product_weight	acme.product_length	acme.product_width	acme.product_height	acme.package_length	acme.package_width	acme.package_height	acme.package_weight	acme.ship_type	acme.package_type	acme.collection_name	acme.catalog	acme.product_type	acme.description	acme.short_description	acme.catalog_finish	acme.material_detail	acme.fl_qty	acme.ga_qty	acme.nj_qty	acme.ny_qty	acme.tx_qty	acme.la_qty	acme.sf_qty	acme.MSRP	acme.ETA_LA_warehouse	acme.group	acme.video
Raceloma TV Stand	91996	94	71	16	18	75	17	20	127	GROUND - OVERSIZE	CARTON	Raceloma	2021S	TV Stand	KD Leg Rectangular TV Stand Metal Leg Cord Management Hole Included	LED Touch Light Max Sizw Recommended: 60" KD Metal Leg Cord Management Hole Included	LED, Gray & Chrome Finish	MDF, Metal, LED Light	2	0	0	3	1	51	5	1650	NONE	GP-000924	
Raceloma TV Stand	91997	94	71	16	18	75	17	20	127	GROUND - OVERSIZE	CARTON	Raceloma	2021S	TV Stand	KD Leg Rectangular TV Stand Metal Leg Cord Management Hole Included	LED Touch Light Max Sizw Recommended: 60" KD Metal Leg Cord Management Hole Included	LED, Walnut & Chrome Finish	MDF, Metal, LED Light	3	0	0	4	2	67	4	1836	NONE	GP-000924	
Ensata II TV Stand	LV00142	99	24	16	23	69	21	6	119	GROUND	ISTA-3A	Ensata II	2021S	TV Stand	KDMetal FrameStorage: 4 Open Compartment & 4 Door StorageWater Pipe StyleMax Size Recommended 60" Flat Screen TVCord Management Included	Sleek and industrial pipework make up the Ensata II TV Stand and Side Piers. The side piers feature three shelves that can be used for displaying home decor goods and two doors with a closed storage compartment for keeping clutter out of sight. Complete the look with the matching TV stand, the TV stand provides storage solutions for your gaming consoles and entertainment systems. The rustic oak and black finish will help you create the perfect industrial aesthetic in your home. +	Rustic Oak  & Black Finish	Composite Wood, Metal, Veneer(Paper)	0	0	0	0	0	0	0	597	NONE	GP-000393	
Samiya TV Stand	LV00151	85	52	18	33	54	21	7	94	GROUND	ISTA-3A	Samiya	2021S	TV Stand	Metal Frame, Max TV Size Recommanded: 50"	Metal Frame, Max TV Size Recommanded: 50"	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	34	2	0	1	4	154	4	624	NONE		
Rashawn TV Stand	LV00152	102	60	18	33	62	22	7	112	GROUND	ISTA-3A	Rashawn	2021S	TV Stand	Metal Frame, Storage: Sliding Barn Door, Max TV Size Recommanded: 58"	Metal Frame, Storage: Sliding Barn Door, Max TV Size Recommanded: 58"	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	34	1	0	3	3	160	4	648	NONE		
Juvanth Vanity Desk	24267	75	47	18	53	52	30	4	79	GROUND	ISTA-3A	Juvanth	2021S	Vanity Desk		Rustic wood frame with metal accents celebrates the beauty of raw materials for a true industrial feel. Straight lined-metal border with dark finish highlights the elaborate silhouette of the desk. Vanity mirror attached to the tabletop will ease your beauty routine, while four storage drawers in different sizes help you organize all your makeup. Charming and practical, the Juvanth Vanity Desk adds stylish storage while complements your bedroom decor.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer(Paper)	0	0	0	0	2	81	0	567	NONE	GP-000585	
Cargo Writing Desk	92690	57	47	24	31	50	27	6	62	GROUND	ISTA-3A	Cargo	2020C	Writing Desk	KDRectangular Writing DeskStorage: 1 Cargo Doors Metal Frame: Iron with Cargo Style	Freshen up a tired workspace with industrial cargo style and a classic New York vibe. The metal-framed desk ensures robust stability, with gunmetal finish enhancing its clean-lined silhouette. Open frame design gives you a spacious keen space that allows you to adjust a comfortable distance from your computer screen. The bottom cabinet looks like a freight container, adding creative storage to this piece. Both visually appealing and practical, the Cargo Writing Desk will inject industrial aesthetic appeal into your home.	Gunmetal Finish	Metal	0	0	0	0	0	1	0	238.8	NONE	GP-000423	
Tennos Writing Desk	93190	44	47	24	28	51	26	4	46	GROUND	ISTA-3A	Tennos	2021S	Writing Desk	KD Rectangular Desk Metal Frame X-Shape Cross Bar Table Thickness: 15mm Metal Tube Size: 22 x 22 x 0.8mm Cross Bar: �� 6mm	Rectangular Writing DeskModern Concise Design Chrome Metal Frame X-Shape Cross Bar4 Tier Shelf Book Case	White & Chrome Finish	Composite Wood, Metal, Veneer	0	3	0	2	1	340	0	106.8	NONE	GP-000481	Au9HbYkazVU
Tennos Writing Desk	93195	44	47	24	28	51	26	4	46	GROUND	ISTA-3A	Tennos	2021S	Writing Desk	KD Rectangular Desk Metal Frame X-Shape Cross Bar Table Thickness: 15mm Metal Tube Size: 22 x 22 x 0.8mm Cross Bar: �� 6mm	Rectangular Writing DeskModern Concise Design Chrome Metal Frame X-Shape Cross Bar4 Tier Shelf Book Case	Black & Chrome Finish	Composite Wood, Metal, Veneer	0	5	0	8	4	416	0	106.8	NONE	GP-000480	YMlA0PN34To
Ottey Writing Desk	93540	55	47	20	31	52	23	8	62	GROUND	ISTA-3A	Ottey	2021S	Writing Desk	Rectangular Writing Desk Storage: 1 Drawer Wooden Top High Gross Finish Metal Base: Gold Finish (Open Base) X-Shape Base	Motivation starts with a great office or study space. Enjoy the contemporary design of this Ottey office desk while getting all of your work done in style. Featuring white high gloss finish with a gold metal base, this practical yet fashionable desk offers ample surface room and 2 storage drawers for your office supplies or other accessories. Perfect for any office space in your home, this piece will offer you an excellent space to organize all of your work and study needs.	Black High Gloss & Gold Finish	Metal, Wood, Composite Wood	30	27	35	0	23	257	1	277.2	NONE	GP-001004	
Ottey Writing Desk	93545	55	47	20	31	52	23	8	62	GROUND	ISTA-3A	Ottey	2021S	Writing Desk	Rectangular X-Shape Base	Motivation starts with a great office or study space. Enjoy the contemporary design of this Ottey office desk while getting all of your work done in style. Featuring white high gloss finish with a gold metal base, this practical yet fashionable desk offers ample surface room and 2 storage drawers for your office supplies or other accessories. Perfect for any office space in your home, this piece will offer you an excellent space to organize all of your work and study needs.	Pink High Gloss & Gold Finish	Metal, Wood, Composite Wood	29	14	31	0	11	268	0	277.2	NONE	GP-001004	
Zakwani Writing Desk	OF00001	147	65	65	31	0	0	0	160	GROUND - OVERSIZE	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mm	Give you a cozy and personal style workspace that surrounds you with everything within arm's reach. The Zakwani Writing Desk provides an L-shaped tabletop, and a storage cabinet on the right side features two sliding barn doors for extra privacy and style. The warm oak finish on its wooden frame showcases a rustic allure and intriguing textures, with metal hardware for a little more industrial chic. There is a cable management hole on the tabletop that allows you to set any essential office equipment. Six storage compartments behind sliding doors keep your office supplies and paperwork handy.	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	2	2	0	2	2	396	4	543	NONE	GP-000997	
Zakwani Writing Desk	OF00002	147	65	65	31	0	0	0	160	GROUND - OVERSIZE	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mmCord Management Included	Give you a cozy and personal style workspace that surrounds you with everything within arm's reach. The Zakwani Writing Desk provides an L-shaped tabletop, and a storage cabinet on the right side features two sliding barn doors for extra privacy and style. The warm oak finish on its wooden frame showcases a rustic allure and intriguing textures, with metal hardware for a little more industrial chic. There is a cable management hole on the tabletop that allows you to set any essential office equipment. Six storage compartments behind sliding doors keep your office supplies and paperwork handy.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	3	3	28	2	1	428	1	543	NONE	GP-000997	
Zakwani Writing Desk	OF00005	119	55	52	31	0	0	0	131	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 40mm Swivel DeskCord Management Included	Meeting your different needs perfectly, this brilliant desk can serve as sofa table, writing table, or L-shaped workstation. 360-degree rotating design is extremely versatile and space-saving, which makes it easy to orient the desktop to extend your workplace according to your needs. The additional cabinet comes with two sliding doors and six storage compartments that help you create a productive and stylish workspace.	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	1	0	0	0	0	0	0	477	NONE	GP-000998	
Zakwani Writing Desk	OF00006	119	55	52	31	0	0	0	131	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 40mm Swivel DeskCord Management Included	Meeting your different needs perfectly, this brilliant desk can serve as sofa table, writing table, or L-shaped workstation. 360-degree rotating design is extremely versatile and space-saving, which makes it easy to orient the desktop to extend your workplace according to your needs. The additional cabinet comes with two sliding doors and six storage compartments that help you create a productive and stylish workspace.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	0	2	0	0	0	0	1	477	NONE	GP-000998	
Zakwani Writing Desk	OF00009	99	48	48	31	52	28	6	108	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mmCord Management Included	Rustic wooden frame and black metal accent complete an industrial chic look. This desk includes a storage cabinet topped with a rectangle desktop, creating a clever and functional L-shaped work station. Additional cabinet features two sliding doors and six storage compartments, which organize things around the office. The tabletop is large enough to accommodate a stationary computer or multiple monitors, with a cable management hole design for keeping the tabletop organized and clean.	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	2	2	0	14	1	658	1	190.8	NONE	GP-000999	
Zakwani Writing Desk	OF00010	99	48	48	31	52	28	6	108	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mmCord Management Included	Rustic wooden frame and black metal accent complete an industrial chic look. This desk includes a storage cabinet topped with a rectangle desktop, creating a clever and functional L-shaped work station. Additional cabinet features two sliding doors and six storage compartments, which organize things around the office. The tabletop is large enough to accommodate a stationary computer or multiple monitors, with a cable management hole design for keeping the tabletop organized and clean.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	3	3	0	3	1	758	3	190.8	NONE	GP-000999	
Buck II Writing Desk	OF00017	95	55	48	30	0	0	0	114	GROUND	ISTA-3A	Buck II	2021S	Writing Desk	KD, Writing Desk, Storage: Open Compartment, Table Top Thickness: 50mm, Swivel Desk	The crisp white finish and shiny stainless steel create a great combination that instantly freshens up your office space. The Buck II Writing Desk features an overall white look and sturdy metal supporting frame, which highlights the modern minimalist design. Its 360-degree swivel design can easily transform an ordinary office into a smart and multi-functional space., The attached two-tier bookshelf provides ample storage with easy access for all of your essentials. Add complete flexibility and comfort to your work area with the Buck II Writing Desk.	White High Gloss Finish	Composite Wood, Stainless Steel	0	1	0	0	0	388	1	654	NONE	GP-000420	
Buck II Writing Desk	OF00018	78	47	40	30	50	26	10	90	GROUND	ISTA-3A	Buck II	2021S	Writing Desk	KD, Writing Desk, Storage: Open Compartment Table Top, Thickness: 50mm, Swivel Desk	The crisp white finish and shiny stainless steel create a great combination that instantly freshens up your office space. The Buck II Writing Desk features an overall white look and sturdy metal supporting frame, which highlights the modern minimalist design. Its 360-degree swivel design can easily transform an ordinary office into a smart and multi-functional space., The attached two-tier bookshelf provides ample storage with easy access for all of your essentials. Add complete flexibility and comfort to your work area with the Buck II Writing Desk.	White High Gloss Finish	Composite Wood, Stainless Steel	0	0	0	1	2	0	1	231.6	NONE	GP-000420	
Midriaks Writing Desk	OF00020	29	42	20	30	48	24	5	36	GROUND	ISTA-3A	Midriaks	2021S	Writing Desk	KD Writing Desk Table Top Thickness: 15mm Fixed Writing Desk Open Metal Base High Gross Finish	Rectangular Writing Desk No Storage Wooden Top: White Finish Metal Base: Gold Finish (Open Base) 	White & Gold Finish	MDF, Metal 	5	0	36	0	4	201	0	154.8	NONE	GP-000435	
Midriaks Writing Desk	OF00021	29	42	20	30	48	24	5	36	GROUND	ISTA-3A	Midriaks	2021S	Writing Desk	KD Writing Desk Table Top Thickness: 15mm Fixed Writing Desk Open Metal Base High Gross Finish	Rectangular Writing Desk No Storage Wooden Top: Black Finish Metal Base: Gold Finish (Open Base) 	Black & Gold Finish	MDF, Metal 	36	0	37	0	9	154	1	154.8	NONE	GP-000436	
Midriaks Writing Desk	OF00022	29	42	20	30	48	24	5	36	GROUND	ISTA-3A	Midriaks	2021S	Writing Desk	KD Writing Desk Table Top Thickness: 15mm Fixed Writing Desk Open Metal Base High Gross Finish	Rectangular Writing Desk No Storage Wooden Top: Navy Blue Finish Metal Base: Gold Finish (Open Base) 	Navy Blue & Gold Finish	MDF, Metal 	39	0	19	1	2	119	0	154.8	NONE	GP-000437	
Midriaks Writing Desk	OF00023	29	42	20	30	48	24	5	36	GROUND	ISTA-3A	Midriaks	2021S	Writing Desk	KD Writing Desk Table Top Thickness: 15mm Fixed Writing Desk Open Metal Base High Gross Finish	Rectangular Writing Desk No Storage Wooden Top: Baby Blue Finish Metal Base: Gold Finish (Open Base) 	Baby Blue & Gold Finish	MDF, Metal 	38	2	9	2	2	103	0	154.8	NONE	GP-000438	
Midriaks Writing Desk	OF00024	29	42	20	30	48	24	5	36	GROUND	ISTA-3A	Midriaks	2021S	Writing Desk	KD Writing Desk Table Top Thickness: 15mm Fixed Writing Desk Open Metal Base High Gross Finish	Rectangular Writing Desk No Storage Wooden Top: Pink Finish Metal Base: Gold Finish (Open Base) 	Pink & Gold Finish	MDF, Metal 	36	0	9	0	2	88	0	154.8	NONE	GP-000439	
Talmar Writing Desk	OF00055	202	67	55	30				218	GROUND	ISTA-3A	Talmar	2021S	Writing Desk	KD L-Shape Writing Desk Marble Table TopTable Top Thickness: 32mmFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Corner Writing Desk Orientation: "L" Shape Left Top Storage: 1 DrawerSlatted BaseMarble TopFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Marble Top & Rustic Oak Finish	Wood(Pine), MDF, Artificial Marble, Metal(iron)	3	1	0	0	2	57	2	1305	NONE	GP-000950	
Talmar Writing Desk	OF00056	202	67	55	30				218	GROUND	ISTA-3A	Talmar	2021S	Writing Desk	KD L-Shape Writing Desk Marble Table TopTable Top Thickness: 32mmFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Corner Writing Desk Orientation: "L" Shape Left Top Storage: 1 DrawerSlatted BaseMarble TopFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Marble Top & Weathered Gray Finish	Wood(Pine), MDF, Artificial Marble, Metal(iron)	1	1	0	0	3	155	1	1305	NONE	GP-000950	
Oklarth Writing Desk	OF00103	38	47	23	30	56	27	9	51	GROUND	ISTA-3A	Oklarth	2021S	Writing Desk	KD	Rectangular Wooden Table TopMetal BaseNail Head AccentWheels IncludedIndustrial Style	Rustic Oak & Black Finish	Composite Wood, Metal, Paper Veneer	0	0	198	0	2	307	0	196.8	NONE		
Synal Writing Desk	OF00135	93	59	24	30	53	29	6	108	GROUND	ISTA-3A	Synal	2021S	Writing Desk	Seat Construction: Full FoamChair w/Swivel Function	Rectangular Table TopMetal BaseStorage: 1 Drawer & 4 Tier Shelf3/4 Extension Drawer GlideMetal Side GlideWater Pipe Style Design	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	0	0	0	0	0	0	0	217.2	NONE		
Canna Writing Desk	OF00136	97	59	20	29	65	25	7	110	GROUND	ISTA-3A	Canna	2021S	Writing Desk	Seat Construction: Full FoamBucket Backrest with Open Frame	Rectangular Table TopStorage: 2 Open Compartment & 1 Storage Compartment	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	0	0	0	0	0	0	0	200.4	NONE		
Ensata Writing Desk	OF00137	53	32	22	70	37	29	6	73	GROUND	ISTA-3A	Ensata	2021S	Writing Desk	KDRectangular Table TopMetal BaseStorage: 2 Tier ShelfWater Pipe StyleTable Top Thickness: 25 mmShelf Thickness: 18 mm	Rectangular Table TopMetal BaseStorage: 2 Tier ShelfWater Pipe Style	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer(PU Paper)	0	0	0	0	0	0	0	156	NONE		
Ensata II Writing Desk	OF00140	60	32	22	70	38	27	7	77	GROUND	ISTA-3A	Ensata II	2021S	Writing Desk	Rectangular Table TopMetal BaseStorage: 2 Tier ShelfWater Pipe StyleTable Top Thickness: 25 mmShelf Thickness: 15 mm	Rectangular Table TopMetal BaseStorage: 2 Tier ShelfWater Pipe Style	Rustic Oak  & Black Finish	Composite Wood, Metal, Veneer(PU Paper)	0	0	0	0	0	0	0	156	NONE		
Nalo Writing Desk	OF00173	35	42	19	30	46	22	9	46	GROUND	ISTA-3A	Nalo	2021S	Writing Desk	KDRectangular Table TopX-Shape Wooden BaseStorage: 1 Drawer 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center GlideTable Top Thickness: 18 mm	Rectangular Table TopX-Shape Wooden BaseStorage: 1 Drawer 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center Glide	Twilight Blue Finish	Wood, Composite Wood	0	3	0	1	2	81	3	342	NONE	GP-001036	
Nalo Writing Desk	OF00174	35	42	19	30	46	22	9	46	GROUND	ISTA-3A	Nalo	2021S	Writing Desk	KDRectangular Table TopX-Shape Wooden BaseStorage: 1 Drawer 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center GlideTable Top Thickness: 18 mm	Rectangular Table TopX-Shape Wooden BaseStorage: 1 Drawer 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center Glide	Charcoal Finish	Wood, Composite Wood	0	2	0	10	4	64	5	342	NONE	GP-001036	
Manas Writing Desk	OF00175	42	43	19	30	47	22	9	51	GROUND	ISTA-3A	Manas	2021S	Writing Desk	KDRectangular Table TopStorage: 2 Drawers 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center GlideTable Top Thickness: 15 mm	Rectangular Table TopStorage: 2 Drawers 2/3 Extension Drawer GlideEnglish Dovetail Front & BackWood Center Glide	Antique Green Finish	Wood, Composite Wood, Veneer	0	0	0	0	0	83	2	378	NONE		
Talmar Writing Desk	OF00053	132	67	55	30	59	27	18	143	LTL	ISTA-3A	Talmar	2021S	Writing Desk	KD L-Shape Writing Desk Wooden Table TopTable Top Thickness: 36mmFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Corner Writing Desk Orientation: "L" Shape Left Top Storage: 1 DrawerSlatted BaseFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Rustic Oak Finish	Wood(Pine), MDF, Metal(iron)	0	0	0	0	3	69	0	1095	NONE	GP-000949	
Talmar Writing Desk	OF00054	132	67	55	30	59	27	18	143	LTL	ISTA-3A	Talmar	2021S	Writing Desk	KD L-Shape Writing Desk Wooden Table TopTable Top Thickness: 36mmFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Corner Writing Desk Orientation: "L" Shape Left Top Storage: 1 DrawerSlatted BaseFull Extension Drawer GlideSide Metal Drawer GlideFelt Lined Drawer	Weathered Gray Finish	Wood(Pine), MDF, Metal(iron)	0	0	0	5	2	139	0	1095	NONE	GP-000949	
Raceloma Writing Desk	93177	183	55	24	54	0	0	0	205	GROUND - OVERSIZE	ISTA-3A	Raceloma	2021S	Writing Desk	KD Writing Desk w/Swivel Function Open Storage: 4 Shelves Wooden Desk (No Apron): "S" Shape Base High Gloss Finish Shelf Thickness: 2" Glass Thickness: 10 mm	Writing Desk w/Swivel Function 360 Open Storage: 4 Shelves Clear Glass Desk Top High Gloss Finish 2 Wheels Included	Clear Glass, Chrome & Black High Gloss Finish	Composite Wood, Metal, Tempered Glass	0	0	0	0	0	98	90	1617	NONE	GP-001129	
Raceloma Writing Desk	93179	183	55	24	54	0	0	0	205	GROUND - OVERSIZE	ISTA-3A	Raceloma	2021S	Writing Desk	KD Writing Desk w/Swivel Function Open Storage: 4 Shelves Wooden Desk (No Apron): "S" Shape Base High Gloss Finish Shelf Thickness: 2" Glass Thickness: 10 mm	Writing Desk w/Swivel Function 360 Open Storage: 4 Shelves Clear Glass Desk Top High Gloss Finish 2 Wheels Included	Clear Glass, Chrome & White High Gloss Finish	Composite Wood, Metal, Tempered Glass	1	0	1	3	3	154	3	1617	NONE	GP-000420	
Raceloma Writing Desk	93181	183	55	24	54	0	0	0	205	GROUND - OVERSIZE	ISTA-3A	Raceloma	2021S	Writing Desk	KD Writing Desk w/Swivel Function Open Storage: 4 Shelves Wooden Desk (No Apron): "S" Shape Base High Gloss Finish Shelf Thickness: 2" Glass Thickness: 10 mm	Writing Desk w/Swivel Function 360 Open Storage: 4 Shelves Clear Glass Desk Top High Gloss Finish 2 Wheels Included	Clear Glass, Chrome & Gray High Gloss Finish	Composite Wood, Metal, Tempered Glass	0	0	0	0	3	98	85	1617	NONE	GP-001129	
Raceloma Writing Desk	93183	183	55	24	54	0	0	0	205	GROUND - OVERSIZE	ISTA-3A	Raceloma	2021S	Writing Desk	KD Writing Desk w/Swivel Function Open Storage: 4 Shelves Wooden Desk (No Apron): "S" Shape Base High Gloss Finish Shelf Thickness: 2"	Writing Desk w/Swivel Function 360 Open Storage: 4 Shelves Clear Glass Desk Top High Gloss Finish 2 Wheels Included	Clear Glass, Chrome & Walnut High Gloss Finish	Composite Wood, Metal, Tempered Glass	0	0	0	4	3	189	0	1938	NONE	GP-001129	
Zakwani Writing Desk	OF00003	147	65	65	31	0	0	0	160	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mm USB Port IncludedCord Management Included	Give you a cozy and personal style workspace that surrounds you with everything within arm's reach. The Zakwani Writing Desk provides an L-shaped tabletop, and a storage cabinet on the right side features two sliding barn doors for extra privacy and style. The warm oak finish on its wooden frame showcases a rustic allure and intriguing textures, with metal hardware for a little more industrial chic. There is a cable management hole and USB charging ports on the tabletop that allow you to set any essential office equipment. Six storage compartments behind sliding doors keep your office supplies and paperwork handy.	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	1	0	0	3	0	2	0	687	NONE		
Zakwani Writing Desk	OF00004	147	65	65	31	0	0	0	160	GROUND - OVERSIZE	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mm USB Port IncludedCord Management Included	Give you a cozy and personal style workspace that surrounds you with everything within arm's reach. The Zakwani Writing Desk provides an L-shaped tabletop, and a storage cabinet on the right side features two sliding barn doors for extra privacy and style. The warm oak finish on its wooden frame showcases a rustic allure and intriguing textures, with metal hardware for a little more industrial chic. There is a cable management hole and USB charging ports on the tabletop that allow you to set any essential office equipment. Six storage compartments behind sliding doors keep your office supplies and paperwork handy.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	2	0	0	2	0	3	0	687	NONE	GP-000997	
Zakwani Writing Desk	OF00008	119	55	52	31	0	0	0	131	GROUND	ISTA-3A	Zakwani	2021C	Writing Desk	KD Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 40mm Swivel Desk USB Port IncludedCord Management Included	Meeting your different needs perfectly, this brilliant desk can serve as sofa table, writing table, or L-shaped workstation. 360-degree rotating design is extremely versatile and space-saving, which makes it easy to orient the desktop to extend your workplace according to your needs. The additional cabinet comes with two sliding doors and six storage compartments that help you create a productive and stylish workspace. USB charging ports and outlets on the desktop allow you to use desk lamps, laptops, or other electronic devices while keeping all your devices charged.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	0	0	0	1	0	0	0	627	NONE		
Zakwani Writing Desk	OF00011	99	48	48	31	52	28	6	108	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mm USB Port IncludedCord Management Included	Rustic wooden frame and black metal accent complete an industrial chic look. This desk includes a storage cabinet topped with a rectangle desk top, creating a clever and functional L-shaped work station. Additional cabinet features two sliding doors and six storage compartments, which organize things around the office. The tabletop is large enough to accommodate a stationary computer or multiple monitors, with cable management and USB charging ports to keep the tabletop organized and clean.	Gray Oak & Black Finish	Composite Wood, Metal, Veneer	2	1	0	2	4	20	5	207.6	NONE	GP-000999	
Zakwani Writing Desk	OF00012	99	48	48	31	52	28	6	108	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD L-Shape Writing Desk & Cabinet Storage: Sliding Barn Door Metal Leg Table Top Thickness: 18mm USB Port IncludedCord Management Included	Rustic wooden frame and black metal accent complete an industrial chic look. This desk includes a storage cabinet topped with a rectangle desk top, creating a clever and functional L-shaped work station. Additional cabinet features two sliding doors and six storage compartments, which organize things around the office. The tabletop is large enough to accommodate a stationary computer or multiple monitors, with cable management and USB charging ports to keep the tabletop organized and clean.	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	2	2	0	11	5	17	5	207.6	NONE	GP-000999	
Collick Writing Desk	OF00110	1	41	19	29	46	24	7	1	GROUND	ISTA-3A	Collick	2021S	Writing Desk	KDRectangular Table TopMetal BaseUSB & Wall Plug IncludedTable Top Thickness: 28 mm	Rectangular Table TopMetal BaseUSB & Wall Plug Included	Weathered Gray & Black Finish	Composite Wood, Metal, Veneer(Paper)	0	0	0	0	0	0	0	170.4	NONE		
Wearn Writing Desk	OF00113	1	42	20	30	44	24	7	1	GROUND	ISTA-3A	Wearn	2021S	Writing Desk	KDRectangular Table TopMetal BaseStorage: 2 DrawersFull Extension Drawer GlideMetal Side GlideSelf Closed GlideUSB & Wall Plug IncludedTable Top Thickness: 28 mm	Rectangular Table TopMetal BaseStorage: 2 DrawersFull Extension Drawer GlideMetal Side GlideSelf Closed GlideUSB & Wall Plug Included	Weathered Gray & Black Finish	Composite Wood, Metal, Veneer(Paper)	0	0	0	0	0	0	0	176.4	NONE		
Zakwani Writing Desk	OF00154	125	55	52	36	0	0	0	139	GROUND	ISTA-3A	Zakwani	2021S	Writing Desk	KD, Writing Desk & Cabinet, Storage: Sliding Barn Door, Metal Leg, Table Top Thickness: 40mm, Swivel Desk, USB Port Included, Cord Management Included	L-Shape Writing Desk, Storage: Sliding Barn Door, Metal Leg w/Black Finish, USB Port Included, Cord Management Included	Rustic Oak & Black Finish	Composite Wood, Metal, Veneer	1	2	0	2	1	104	2	606	NONE	GP-001000	
Buck II Writing Desk	OF00155	88	47	40	36	50	26	10	99	GROUND	ISTA-3A	Buck II	2021S	Writing Desk	KD, Writing Desk, Storage: Open Compartment, Table Top Thickness: 50mm, Swivel Desk	Writing Desk w/Swivel Function, High Gross Finish, Open Compartment Storage	White High Gloss Finish	Composite Wood, Stainless Steel	0	0	0	1	1	0	1	256.8	NONE	GP-000420	
Cailyn Full Bed	30465F-BU	43	79	54	38	62	39	7	53	GROUND - OVERSIZE	ISTA-3A	Cailyn	2016C	Full Bed	KD, Full Metal Bed Box Spring Not Required (Slat System Included: 20 Slats) Panel Bed: Slatted Style, Curved HB, Low Profile Rectangular FB, (Side Rails & Slats Included) CONSTRUCTION Metal Frame FB: 20" Height Clearance Between Floor & Rail: 12"H	Bring home the Cailyn Collection Bed and let your kids enjoy personal space without compromising on style. Superior quality metal for durability, slatted headboard and footboard and a slat system foundation that allows it to be used with or without box spring. Choose from black, blue, silver or white finish such variety of colors makes it compatible with all types of decor settings.	Blue Finish	Metal	0	2	0	0	1	0	1	267	NONE	GP-001132	
Umika Office Chair	OF00097	34	26	26	52	25	12	28	39	GROUND	ISTA-3A	Umika	2021S				Black Fabric	Composite Wood, Upholstery	0	0	0	0	0	0	0	447	NONE	GP-000978	
Umika Office Chair	OF00098	34	26	26	52	25	12	28	39	GROUND	ISTA-3A	Umika	2021S				Green & Gray Fabric	Composite Wood, Upholstery	0	0	0	0	0	0	0	447	NONE	GP-000978	
Umika Office Chair	OF00099	34	26	26	52	25	12	28	39	GROUND	ISTA-3A	Umika	2021S				Gray Fabric	Composite Wood, Upholstery	0	0	0	0	0	0	0	447	NONE	GP-000978	
