sku	locations.la_qty	locations.sf_qty	locations.fl_qty	locations.ga_qty	locations.tx_qty	locations.nj_qty	locations.ny_qty	locations.la_warehouse_eta
80518	42	2	0	0	2	0	1	NONE
81012	8	0	0	0	2	0	0	NONE
84577	0	0	1	0	0	0	0	NONE
26284	0	0	1	3	0	0	0	NONE
27944	0	1	3	1	6	1	5	NONE
30764	0	0	0	0	1	0	1	NONE
96650	1	0	0	0	0	0	0	NONE
96652	0	0	0	1	0	0	1	NONE
96654	20	0	1	0	0	0	0	NONE
96656	0	0	0	2	0	0	0	NONE
77887	12	4	4	0	0	0	2	NONE
77907	60	1	3	0	2	0	3	NONE
40203	0	1	0	0	0	0	0	NONE
15034	28	2	0	2	17	8	13	NONE
53782	29	0	42	1	3	0	0	NONE
80682	35	2	2	0	0	0	2	NONE
81240	75	0	0	2	2	0	2	NONE
81427	45	1	3	3	1	0	2	NONE
81449	1	1	2	0	0	0	0	NONE
81612	0	47	3	2	1	1	0	NONE
83671	2	0	0	0	0	0	0	NONE
83676	0	1	0	0	0	0	0	NONE
87993	13	1	0	0	0	0	1	NONE
26644	0	0	1	0	0	0	1	NONE
28044	202	1	0	6	2	12	1	NONE
97262	146	1	0	1	0	0	3	NONE
22044	0	0	0	0	0	0	2	NONE
30737	0	0	1	0	2	0	1	NONE
60739	0	2	0	0	0	1	1	NONE
70263	0	2	0	0	0	0	0	NONE
71540	0	0	0	1	0	0	0	NONE
96241	0	3	0	0	0	0	0	NONE
96628	1	0	0	0	0	0	0	NONE
72458	99	0	1	2	1	0	1	NONE
77153	53	0	1	2	1	0	3	NONE
98006	556	1	0	2	2	0	0	NONE
80357	79	4	2	3	1	1	9	NONE
80982	5	1	0	0	1	0	0	NONE
84640	21	4	0	0	0	0	0	NONE
96413	0	1	0	1	0	0	0	NONE
22874	84	29	3	25	20	22	31	NONE
26684	0	0	0	0	2	0	0	NONE
27074	0	0	7	0	5	2	1	NONE
30394	0	0	0	0	0	0	1	NONE
30424	0	3	0	0	0	0	1	NONE
70833	238	1	4	2	3	0	0	NONE
71437	301	3	8	3	8	2	1	NONE
71795	1	0	0	0	0	1	1	NONE
71796	0	0	0	0	0	0	1	NONE
71797	0	2	0	0	3	0	1	NONE
71798	0	0	0	0	0	0	1	NONE
71883	132	2	2	2	4	0	1	NONE
73833	263	3	3	3	1	1	1	NONE
96214	0	1	0	0	0	0	0	NONE
96258	1	1	0	0	0	0	0	NONE
72312	53	3	6	3	2	0	2	NONE
59522	0	0	0	0	1	0	0	NONE
80662	17	2	1	2	3	0	0	NONE
82052	0	2	0	1	0	0	0	NONE
97306	17	2	0	1	2	2	74	NONE
83939	72	0	0	3	1	0	0	NONE
92029	1	0	1	0	2	0	0	NONE
92557	13	0	0	0	0	0	1	NONE
