Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
	Velvet Bedroom SET	Bed Upholstered: Victoria Sand color in Eco Leather   N/S , Dresser & Chest : Color Cream + Gold  Finishes: Beige 162 MATT carcas / Fronts 262 High Gloss /handle Anilla Gold Soft closing mechanism  Mirror: 262 High Gloss   Removable Box inside gap - Gold mat color Handles - Gold color Mirror - Finish High Gloss Cream Color  BED QS + NS = W118,9"  H55,12"  D90,55"  BED KS + NS = W134,65"  H55,12"  D90,55" 	3471	6074.25							Franco Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Beds with Storage,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-Bedroom.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-_side_7.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Velvet-Bedroom_side_1.jpg																																																																																			p9853		White, Grey/Silver, Yellow/Gold, Light Beige	Wood veneer, MDF	High Gloss Lacquer, Mat
	Velvet 3 Door Wardrobe	*Special Order	2628	4599	0																											0	0																																																																												i27302	p9853			
WFRAMEQUEENS	Wooden Slats Frame QS		65	113.75	1	60	79	3	25																							1	1	1	2	30	80	0																																																																							i22200	p9853			
ENZOSTORAGEKITKS	KS Storage Kit		750	1312.5	0	104.33	90.55	11	265																							0	5		6	82	15	0		6	78	15	0		3	78	79	0		3	43	79	0		2	78	79	0																																																			i22198	p9853			
WFRAMEKINGS	Wooden Slats Frame KS		90	157.5	0	76	79	3	35																							0	1	1	2	39	80	0																																																																							i22199	p9853			
ENZOSTORAGEKITQS	QS Storage Kit		570	997.5	0	55.58	90.55	11	220																							0	4		6	82	15	0		6	62	15	0		3	62	79	0		3	62	79	0																																																								i22197	p9853			
VELVETDDRESSER	Velvet Double Dresser		968	1694	1	62.99	15.75	37.01	220																							1	1	1	18	65	39	0																																																																							i22194	p9853			
VELVETMIRRORDD	Velvet Mirror For Double Dresser/ Floor Mirror		259	453.25	1	59.06	1.97	27.56	64																							1	1	1	6	61	30	0																																																																							i22195	p9853			
VELVETCHEST	Velvet Chest		723	1265.25	0	23.62	15.75	48.82	134																							0	1	1	23	19	26	0																																																																							i22192	p9853			
VELVETBEDKS	Velvet Bed KS	need wooden slat frame	1459	2553.25	0	104.33	90.55	55.12	320																							0	4	1	14	106	59	0	2	16	81	10	0	3	4	51	16	0	4	4	8	6	0																																																								i22193	p9853			
