Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
185CHAIR	185 Dining Chair		110	192.5	1	20	26.77	36.22/18.11	18																							1	1	1	27	22	40	45																																																																							i22221	p9856			
	Carmen White Dining Room SET	European Dining Set In Clean White Color. High Gloss Finish. Available as Dining Table with extension , side and arm chairs , China ,Buffet and Mirror.  Table top : Matt Finish White 120 Matt Table legs : High Gloss White 220  Chairs upholstered in eco leather: BENGAL Blanco 220 High Gloss Finish White  Curio and Buffet : Front High Gloss Finish White 220; Carcass: 120 White Matt Handle: SERIK II   Mirror:  Front 220 High Gloss Finish White 	3908	6839							Franco Spain	DINING	stock	FALSE	Dining Room Furniture	Modern Dining Room Sets	Dining Room,Formal Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Carmen-White-Dining_side_1.jpg																																																																																				p9874		White	Fabric, Glass, MDF	High Gloss Lacquer, Mat
CARMENMIRRORWHITE	Carmen Mirror for Buffet		390	682.5	1	63	4	40	40																							1	1	1	6	65	41	0																																																																							i22257	p9874			
CARMENARMCHAIRWHITE	Carmen Armchair		206	360.5	2	27	20	46	23																							2	1	1	48	28	22	0																																																																							i22254	p9874			
CARMENSIDECHAIRWHITE	Carmen Side Chair		192	336	4	22.44	20.47	46.06	22																							4	1	1	48	28	22	0																																																																							i22255	p9874			
CARMENBUFFETWHITE	Carmen Buffet		675	1181.25	1	63	16	36	231																							1	1	1	18	65	37	0																																																																							i22256	p9874			
CARMEN2DOORCURIOWHIT	Carmen Curio 2-Door		823	1440.25	1	39.37	15.75	76.77	284																							1	3	1	20	41	79	245	2	3	19	59	30	3	3	17	41	25																																																													i22252	p9874			
CARMENTABLEWHITE	Carmen Table with Extension		840	1470	1	63/87	36	30	285																							1	2	1	37	59	7	0	2	12	37	32	0																																																																		i22253	p9874			
	Cordoba white Dining SET	Light and clean design dining room for relaxing family time. Table with extension , fabric chairs and wave design buffet for storage with shelf for decoration.   Table top finish: NATURAL OAK WHITE DECAPÉ Table legs finish: White High Gloss  Chairs Fabric: White & Black Chairs Legs Finish: White High Gloss  Buffet Front and Mirror Finish: White High Gloss. Buffet Carcass finish: NATURAL OAK WHITE DECAPÉ 	3824	6692							Fenicia  Spain	DINING	stock	FALSE	Dining Room Furniture	Kitchen Tables and Chairs	Dining Room,Casual Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets__side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets__side_1.jpg																																																																																									p9875		Black, White	Fabric, MDF	High Gloss Lacquer, Mat
CORDOBAMIRRORBUFFET	Mirror/w Light		746	1305.5	1	55.12	1.97	35.43	44	0.14																						1	1	1	35	33	34	0																																																																							i22261	p9875			
CORDOBACHAIR	Side Chair		140	245	4	42.91	19.29	17.32	14	0.18																						4	1	1	20	45	20	0																																																																							i22259	p9875			
CORDOBABUFFET	Buffet		1838	3216.5	1	70.87	18.5	36.61	279	0.83																						1	2	1	35	33	20	0	2	35	33	20	0																																																																		i22260	p9875			
CORDOBATABLE	Dining Table		680	1190	1	55/80.71	33.46	29.92	134	0.3																						1	2	1	36	58	5	42	2	27	31	7	20																																																																		i22258	p9875			
	8312 Sectional with Sliding Seats SET	Stock Color :  #3233 Beige Upholstery Material : Top-grain Leather/Eco Leather on the Back  Ottomans in stock - CARAMEL TO164 color  This leather sectional set will put a remarkable accent into your living room area. The set features adjustable headrests, sliding seats and stow away poufs for your maximum comfort and convenience.  The set is made with Italian leather in the front and a designer leather match in the back where the contact is minimal. The seat slides out for extra 12".  	2200	3850							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Recliner, sliding, massage,Modern,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_8312-Sectional-wSliding-Seats.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_8312-Sectional-wSliding-Seats_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_8312-Sectional-wSliding-Seats_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_8312-Sectional-wSliding-Seats_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_8312-Sectional-wSliding-Seats_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_8312-Sectional-wSliding-Seats_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_8312-Sectional-wSliding-Seats_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_8312-Sectional-wSliding-Seats_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_8312-Sectional-wSliding-Seats_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Leather-Sectionals_8312-Sectional-wSliding-Seats_side_1.gif																																																																																		p6810		Brown/Wenge/Walnut	Top-grain Leather Front/Eco Leather Back	N/A
8312SECTIONALRIGHT	8312-Sectional-Right		2200	3850	1	152/108	43	33	300									http://www.esfwholesalefurniture.com/images/product/fullsize/6810_6810_8312-Sectional-Right_item_1.jpg														1	4	8312-1R	36	67	32	90	8312-2R	52	77	32	100	8312-3R	45	56	34	60	8312-4R	42	67	34	52																																																								i10844	p6810			
8312SECTIONALLEFT	8312-Sectional-Left		2200	3850	0	152/108	43	33	300									http://www.esfwholesalefurniture.com/images/product/fullsize/6810_6810_8312-Sectional-Left_item_1.jpg														0	4	8312-1L	36	67	32	90	8312-2L	52	77	32	100	8312-3L	45	56	34	60	8312-4L	42	67	34	52																																																								i10845	p6810			
	Katia Rug SET	Add a vibrant look in your room with Katia Rug. This paint-inspired rug brings together rich saturated colors in a unique blended design.  Katia Rug available for special order in sizes:  79 x 114 in / 52 x 75 in  Katia Rug is made of: 100% Polypropylene 	252	441							CutCut Collection, Portugal	LIVING	stock	FALSE	Brands	CutCut Vintage Rug Collection Spain	Living Room,Rugs,Modern,Classic,Fabric,Other Material,Rugs	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_CutCut-Vintage-Rug-Collection-Spain_Katia-Rug.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_CutCut-Vintage-Rug-Collection-Spain_Katia-Rug_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Brands_CutCut-Vintage-Rug-Collection-Spain_Katia-Rug_side_2.gif																																																																																									p11164		Blue, Brown/Wenge/Walnut, Yellow/Gold, Red/Orange/Mahogany/Pink/Purple	Fabric	N/A
KATIARUG	Katia Rug		252	441	1	90.5	63	0.23	35																							1	1		9	92	9	36																																																																							i26408	p11164			
	2109 Table and 3147 Chairs SET	Form meets function in this dining room set. The table and chairs are foldable for easy storage but you might think twice before hiding this beauty away.  Glass top with wooden extensions. Chair Seat Color: Off White Creamy	590	1032.5							ESF Extravaganza Collection	DINING	stock	FALSE	Dining Room Furniture	Kitchen Tables and Chairs	Dining Room,Casual Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2109-Table-and-3147-Chairs.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/8/4/Dining-Room-Furniture_Modern-Dining-Rooms_2109-Table-and-3147-Chairs_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_2109-Table-and-3147-Chairs_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_2109-Table-and-3147-Chairs_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_2109-Table-and-3147-Chairs_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_2109-Table-and-3147-Chairs_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2109-Table-and-3147-Chairs_side_1.jpg																																																																																					p3756		Black, White	Wood veneer, Glass, Metal	Mat, Shiny
2109DININGTABLE	2109 Table w/Extension		390	682.5	1	50/78	28	30-Dec	110																							1	1	2109 Table	33	50	15	110																																																																							i3931	p3756			
3147CHAIRWW	3147 Chair Wenge White	(4 in a box)	50	87.5	4	19	17	33	15																							4	1	BOX 1	25	30	50	60																																																																							i3932	p3756			
	Aida White/Silver 2 Door Wardrobe SET	Classic Style 2 Door White/Silver Aida Wardrobe.  Inside : 1 x shelf and 1 x coat hanger	318	556.5							Camelgroup Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Wardrobes	Bedroom,Wardrobes,Classic,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Aida-WhiteSilver-2-Door-Wardrobe.gif																																																																																											p10412		White, Grey/Silver	Wood veneer, MDF	High Gloss Lacquer
AIDA2DOORWDWHITESIL	Aida White w/Silver 2-Door Ward		318	556.5	1	36	17	67	137																							1	3	Box 1	6	21	74	60	Box 2	17	15	39	40	Box 3	1	35	64	70																																																													i24003	p10412			
	Carmen White 2 Door Wardrobe SET	2 Door White Carmen Wardrobe is a beautiful and useful addition to any white bedroom .  Inside : 1 x shelf and 1 x coat hanger  Finish: Front High Gloss Finish White 220; Carcass: 120 White Matt	738	1291.5							Franco Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Wardrobes	Bedroom,Wardrobes,Modern,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Carmen-White-2-Door-Wardrobe.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Carmen-White-2-Door-Wardrobe_side_1.jpg																																																																																										p10421		White	Glass	High Gloss Lacquer
CARMEN2 DOORW/DWHITE	Carmen White 2-Door Wardrobe		738	1291.5	1	39	24	67	225																							1	10	Carmen Wardrobe Drawers	40	20	22	0	Back Panel	66	43	3	0	Left and Right Side	69	26	5	0	Top and Bottom	43	27	5	0	Shelf	42	24	4	0	Shelf Dividing	42	24	4	0	Hardware Accesories	7	22	9	0	Doors	48	22	3	0	Small Dividing Shelf	4	13	26	0	Bottom Platform for 2 Door	43	24	3	0																										i23980	p10421			
	Platinum 4 Door Wardrobe SET	Simply designed Platinum 4 Door Wardrobe fits well with both classical and traditional interior designs.  Standard accessories : 1 shelf + 1 hanging rail per section.  Finish : High gloss lacquered finish :  High gloss polyester lacquer with anti- yellowing treatment with UV (ultra violet) drying process.	1028	1799							Camelgroup Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Wardrobes	Bedroom,Wardrobes,Modern,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Platinum-4-Door-Wardrobe.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Platinum-4-Door-Wardrobe_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Platinum-4-Door-Wardrobe_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Wardrobes_Platinum-4-Door-Wardrobe_side_3.jpg																																																																																								p10431		Brown/Wenge/Walnut	Glass	High Gloss Lacquer, Shiny
PLATINUM4DOORWD	Platinum 4 Door Wardrobe with 2 Mirrors		1028	1799	1	74	24	90	355																							1	6	Box 1	2	24	93	0	Box 2	2	21	92	0	Box 3	2	22	36	0	Box 4	5	25	38	0	Box 5	1	36	86	0	Box 6	1	42	3	0																																														i23982	p10431			
	Kiu Night Stand SET	Stylish modern looking white Kiu Night Table - perfect for any interior style.   Finish:Carcass 120 matt & Front 220 High Gloss - White Color  Night stand, dressers and chest without light. Special order is available for n/s, dressers , chest and mirror with light. 	297	519.75							Franco Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Nightstands	Bedroom,Nightstands, Dressers, Chests,Modern,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Nightstands_Kiu-Night-Stand.gif																																																																																											p10971		White	Wood veneer, MDF	High Gloss Lacquer, Mat
KIUNS	KIU Night Stand		297	519.75	1	23.62	15.75	18.11	62																							1	1		18	27	21	72																																																																							i26014	p10971			
	Massimo Sectional Left:Chaise w/Storage, Bar Element, Electric Recliner, Corner, Sofa w/Bed SET	Massimo Sectional: Chasie w/Storage,Bar Element,Electric Recliner,Corner,Sofa w/Bed.  Leather color Beige #G-654 California *Movable Headrests  *** No speakers like on pictures !!  The Massimo modern convertible corner sofa is an elegant piece of furniture that will add to any living room arrangement. Configured according to your needs using Massimo modular system elements, it will enable you to enjoy long and pleasant moments of afternoon or evening relaxation. It may be equipped with the sleeping function or a movable seat section controlled by electric sensors that – when folded out – may successfully function as an overnight accommodation for a single person. The Massimo convertible corner sofa fully meets all the requirements that should be met by modern upholstered living room furniture. It will be a perfect choice as a piece of relaxation furniture and – from time to time – as a piece of furniture suitable for sleeping.  Variety of colors and configurations available for special order.	4080	7140							Galla Poland	LIVING	stock	FALSE	Living Room Furniture	Sectionals with Sleepers	Living Room,Sectionals,Sofa beds,Modern,Leather	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals-with-Sleepers_Massimo.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals-with-Sleepers_Massimo_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Collections_Galla-2018-catalog_Massimo_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals-with-Sleepers_Massimo_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals-with-Sleepers_Massimo_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals-with-Sleepers_Massimo_side_3.jpg																																																																																p9436		White, Grey/Silver, Light Beige	Full Top-grain Leather, Solid Wood	N/A
MASSIMOSECTIONAL	Massimo Sectional	1D(1)SL-BAR(2)SC-1(70)TVBBE-EDSL-2.5QFP	4080	7140	1	132	105	31/39																								1	5	Chase	37	76	33	0	Storage	19	39	27	0	Chair	30	42	33	0	Corner	41	52	33	0	Sofa	43	66	33	0																																																			i21787	p9436			
	Kiu Chest SET	Stylish modern looking white Kiu Collection - perfect for any white interior style.  Finish: Carcass 120 matt & Front 220 High Gloss - White Color  Night stand, dressers and chest without light. Special order is available for n/s, dressers , chest and mirror with light.	2346	4105.5							Franco Spain	BEDROOMS	stock	FALSE	Bedroom  Furniture	Dressers and Chests	Bedroom,Nightstands, Dressers, Chests,Modern,N/A	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Dressers-and-Chests_Kiu-DresserChest.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Dressers-and-Chests_Kiu-DresserChest_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Dressers-and-Chests_Kiu-DresserChest_side_2.gif																																																																																									p10972		White	Wood veneer, MDF	High Gloss Lacquer, Mat
KIUDDRESSER	KIU Double Dresser		950	1662.5	1	63	15.75	36.22	320																							1	1		20	65	39	330																																																																							i26015	p10972			
KIUCHEST	KIU Chest		657	1149.75	1	23.62	15.75	49.61	280																							1	1		20	25	52	290																																																																							i26016	p10972			
KIUSINGLEDRESSER	KIU Single Dresser		739	1293.25	1	47.24	15.75	41.73	177																							1	1		20	50	45	187																																																																							i26017	p10972			
	Roma 4-Door Buffet Walnut SET	Contemporary Roma 4-Door Buffet Walnut is an elegant and useful addition to any walnut dining room.	827	1447.25							Camelgroup Italy	DINING	stock	FALSE	Dining Room Furniture	China Cabinets and Buffets	Dining Room,Casual Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_China-Cabinets-and-Buffets_Roma-4-Door-Buffet-Walnut.gif																																																																																											p10493		Brown/Wenge/Walnut	Metal, MDF	High Gloss Lacquer
ROMA4DBUFFETWALNUT	Roma 4-Door Buffet Walnut		827	1447.25	1	79	20.5	33.5	220																							1	4	Top + Bottom	11	83	23	130	Shelves	44	21	1	20	Lateral Doors	44	33	3	50	Central Doors	44	33	3	50																																																								i24038	p10493			
	Blackberry w/Sleeping Option SET	Living Room Sectional that can be displayed as:  1. Two Separate sofas and Chair 2. Two Sofas as corner sectional 3. Two Sofas and a Chair as a corner sectional with a wedge 4. Two Sofas together as a bed.  Color: seat cushion and back frame E13 Grey Pillows: E05A 5 Grey Pillows Small Arm Pillow: E11 2 Green Pillows Upholstery Material : Chenille Fabric  Seat: * Depth - 21" * Height - 17"	1040	1820							ESF Extravaganza Collection	LIVING	stock	FALSE	Living Room Furniture	Sectionals	Living Room,Sectionals,Modern,Fabric,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_2.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_3.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_4.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_5.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_6.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Living-Room-Furniture_Sectionals_Blackberry_side_7.gif																																																																																				p9486		Grey/Silver	Fabric	N/A
BLACKBERRYCHAIR	Blackberry 1 Chair		220	385	1	42	42	34	62																							1	1	Box 1	45	45	37	67																																																																							i21814	p9486			
BLACKBERRYSECTIONAL	Blackberry Sectional	2 Sofas	820	1435	1	83(3 seater)	42	34	229																							1	2	Box 1	45	85	37	118	Box 2	45	85	37	118																																																																		i21815	p9486			
	Granada TV SET	TV Base Is Designed To Be Used With TV Panel. TV Base Designed To Be Used Without TV Panel Available For Special Order Only.  <b/>Assembling instruction:</b>  1. The wooden beveled strips are screwed in to the wall and then the panel with the opposite bevel to fix together is hung to the strips.  2. The holes are always made by the assemblers as each home is different as well as TV cabling positions.    3. In order to attach the TV it requires the same TV wall bracket either the official TV brand bracket or a universal bracket.  Each TV is different and requires different needs, it is important to follow the TV manufacturer's specifications. The panel is a decorative feature which is fixed between the TV and the wall, all hardware and brackets for the TV are still required.  Finishes: WHITE HIGH GLOSS / ARENA HIGH GLOSS   <iframe width="560" height="315" src="https://www.youtube.com/embed/DWOZIcIYWaI" frameborder="0" allowfullscreen></iframe>  <iframe width="560" height="315" src="https://www.youtube.com/embed/iUX-CtzJ760" frameborder="0" allowfullscreen></iframe>	1449	2535.75							Fenicia  Spain	WALL UNITS	stock	FALSE	Wallunits	Entertainment Centers	Entertainment Centers,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits_Entertainment-Centers_Granada-TV.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits-Furniture_Entertainment-Centers_Granada-TV_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits-Furniture_Entertainment-Centers_Granada-TV_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits-Furniture_Entertainment-Centers_Granada-TV_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits-Furniture_Entertainment-Centers_Granada-TV_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Wallunits_Entertainment-Centers_Granada-TV_side_1.jpg																																																																																						p7214		White, Grey/Silver	Wood veneer, MDF	High Gloss Lacquer
GRANADAWALLUNIT	Granada TV Base w/Panel		1449	2535.75	1	91	17	73	370																							1	10	Curve part	6	58	44	140	Top Strait panel	12	58	25	65	Back	2	55	38	10	Top	2	92	21	40	Bases	3	91	21	40	2 Doors	2	17	16	15	2 Doors	2	17	16	15	4 Sides	4	19	21	15	2 Low Backs + Glass Shelves	1	32	17	30	Hardware	4	12	8	5																										i11567	p7214			
GRANADATVPANEL	Granada Panel		620	1085	0	55	17	55	205																							0	2	Curve part	12	58	25	140	Top Strait panel	6	58	44	65																																																																		i11568	p7214			
	Prestige Dining Room SET	Prestige Dining room is designed to give your house a touch of elegance and artistic distinctiveness. Geometrical lines and warm umber birch color are combined together creating a cozy and familiar environment.  Straight panels are in chipboard, then veneered (veneer being a thin layer of solid wood); then the veneers are lacquered using a 6 steps/layers of UV high gloss polyester lacquer. Chairs upholstered in microfiber. Manufactured according to European and international standards. Made in Italy  <font color="red">All china cabinets requires professional assembling!!!</font>   Chairs: Seat height 18" Seat depth  15.5" Legs finish: high gloss 	3380	5915							Status Italy	DINING	stock	FALSE	Brands	Status Modern Collections, Italy	Dining Room,Formal Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Prestige-Dining-Room.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_18.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Dining-Sets_Prestige-Dining_side_19.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Prestige-Dining-Room_side_1.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Formal-Dining-Sets_Prestige-Dining-Room_side_1.jpg																																																																																	p6737		Brown/Wenge/Walnut	Fabric, Wood-based panel, Stainless Steel	High Gloss Lacquer
PRESTIGE3DCHINA	3-Door China	<font color="red">All china cabinets requires professional assembling!!!</font> 	1400	2450	1	65	19.3	78.4	440																							1	13	Prestige 3/D Vitrine Upper Doors	3	41	33	41	Prestige Nr 2 side doors for Buffet	3	31	25	28	Prestige right central door for Buffet	2	31	20	13	Prestige Nr 2 Shelves for 3/d Vitrine	2	63	13	42	Prestige Top+Bottom For 3/D Vitrine	4	66	21	74	Prestige Divisions 3-4/D Buffet	3	31	20	21	Prestige Sides For 3-4/D Buffet	3	31	20	21	Prestige Sides for 3d Glass Section	3	41	16	23	Prestige Hardware 3/D Buffet	5	19	10	5	Prestige Glass Shelves for 3/D Buffet	2	24	16	24	Prestige Back Panel 3/D Buffet	1	30	23	9	Prestige 3d Glass Section Back Panel	2	65	54	74	Prestige Top+Hardware. 3d Glass Section	7	67	17	70											i10475	p6737			
