Given SKU	Computed Handle	Title	Intro	Color	Material	Finish	W	D	H	Weight	Features
M0133S015S	muffy-sofa	sofa	n/a	gray	n/a	n/a	90	38.25	34	n/a	n/a
M0133S065L	muffy-loveseat	loveseat	n/a	gray	n/a	n/a	64	38.25	34	n/a	n/a
MNY2622-4P	quinn-power-reclining-sofa-with-dropdown-table	sofa	n/a	black	n/a	n/a	82.5	38.75	41	n/a	n/a
MNY262269P	quinn-power-reclining-loveseat-with-cup-holder-console	loveseat	n/a	black	n/a	n/a	72	38.75	41	n/a	n/a
